ID,Рівень 1,Рівень 2,Рівень 3,Рівень 4,Рівень 5,"Категорія останнього рівня, (для використання в атрибутах)",Роялті
2964,Автотовари,Автоаксесуари,Автопилососи,,,Автопилососи,https://admin.epicentrm.com.ua/commissions
2968,Автотовари,Автоаксесуари,Автотермометри,,,Автотермометри,
1189,Автотовари,Автоаксесуари,Автохолодильники,,,Автохолодильники,
2967,Автотовари,Автоаксесуари,Ареометри,,,Ареометри,
3739,Автотовари,Автоаксесуари,Брелоки для авто,,,Брелоки для авто,
2962,Автотовари,Автоаксесуари,Вентилятори автомобільні,,,Вентилятори автомобільні,
2951,Автотовари,Автоаксесуари,Вішалки автомобільні,,,Вішалки автомобільні,
6119,Автотовари,Автоаксесуари,Іграшки в машину,,,Іграшки в машину,
2948,Автотовари,Автоаксесуари,Килимки автомобільні,,,Килимки автомобільні,
2950,Автотовари,Автоаксесуари,Окуляри водія,,,Окуляри водія,
2953,Автотовари,Автоаксесуари,Органайзери автомобільні,,,Органайзери автомобільні,
5295,Автотовари,Автоаксесуари,Паркувальні демпфери,,,Паркувальні демпфери,
3005,Автотовари,Автоаксесуари,Пасти та очищувачі рук,Пасти та очищувачі рук,,Пасти та очищувачі рук,
2965,Автотовари,Автоаксесуари,Підігрів сидінь та автомасажери,,,Підігрів сидінь та автомасажери,
8764,Автотовари,Автоаксесуари,Підлокітники для авто,,,Підлокітники для авто,
2955,Автотовари,Автоаксесуари,Подушки в автомобіль,,,Подушки в автомобіль,
2960,Автотовари,Автоаксесуари,Розгалужувачі прикурювача,,,Розгалужувачі прикурювача,
2969,Автотовари,Автоаксесуари,Ручки та чохли на КПП,,,Ручки та чохли на КПП,
2958,Автотовари,Автоаксесуари,Тенти-чохли на автомобіль,,,Тенти-чохли на автомобіль,
2952,Автотовари,Автоаксесуари,Тримачі для телефонів в машину,,,Тримачі для телефонів в машину,
2963,Автотовари,Автоаксесуари,Чайники та кавоварки автомобільні,,,Чайники та кавоварки автомобільні,
2944,Автотовари,Автоаксесуари,Чохли для коліс,,,Чохли для коліс,
2945,Автотовари,Автоаксесуари,Чохли для салону автомобіля,,,Чохли для салону автомобіля,
2946,Автотовари,Автоаксесуари,Чохли на кермо,,,Чохли на кермо,
2957,Автотовари,Автоаксесуари,Шторки сонцезахисні в автомобіль,,,Шторки сонцезахисні в автомобіль,
6342,Автотовари,Автоелектроніка,Автосканери,,,Автосканери,
2855,Автотовари,Автоелектроніка,Відеореєстратори,,,Відеореєстратори,
6423,Автотовари,Автоелектроніка,Електроприлади в авто,Автомобільні обігрівачі,,Автомобільні обігрівачі,
2863,Автотовари,Автоелектроніка,Кабелі та конектори,,,Кабелі та конектори,
3729,Автотовари,Автоелектроніка,Камери заднього огляду,,,Камери заднього огляду,
6343,Автотовари,Автоелектроніка,Навігаційне ПЗ,,,Навігаційне ПЗ,
2851,Автотовари,Автоелектроніка,Паркувальні системи,,,Паркувальні системи,
2856,Автотовари,Автоелектроніка,Радар-детектори,,,Радар-детектори,
2857,Автотовари,Автоелектроніка,GPS-навігатори,,,GPS-навігатори,
7230,Автотовари,Автоелектроніка,GPS-трекери,,,GPS-трекери,
3328,Автотовари,Автозапчастини,Автомобільні запобіжники,,,Автомобільні запобіжники,
2972,Автотовари,Автозапчастини,Акумулятори автомобільні,,,Акумулятори автомобільні,
8800,Автотовари,Автозапчастини,Амортизація для авто,Проставки для збільшення кліренсу,,Проставки для збільшення кліренсу,
7548,Автотовари,Автозапчастини,Гальмівна система,Антиблокувальна система (АБС),,Антиблокувальна система (АБС),
7546,Автотовари,Автозапчастини,Гальмівна система,Болти гальмівних дисків,,Болти гальмівних дисків,
7549,Автотовари,Автозапчастини,Гальмівна система,Гальмівні елементи автомобіля,Гальмівні барабани,Гальмівні барабани,
7534,Автотовари,Автозапчастини,Гальмівна система,Гальмівні елементи автомобіля,Гальмівні диски,Гальмівні диски,
7535,Автотовари,Автозапчастини,Гальмівна система,Гальмівні елементи автомобіля,Гальмівні колодки,Гальмівні колодки,
