article,opt_usd,opt_uah,sell_price,commission_rate,commission_uah,margin_uah,margin_pct
FL9 6K,110.0,4950.0,7340.0,0.07,513.8,1876.2,25.6
FL9+ 3K,110.0,4950.0,7340.0,0.07,513.8,1876.2,25.6
QBR-FH 0105-68,85.0,3825.0,6730.0,0.12,807.6,2097.4,31.2
QBR-FH 0321-68,70.0,3150.0,6000.0,0.12,720.0,2130.0,35.5
QBR-FH 0416-68A,75.0,3375.0,6210.0,0.12,745.2,2089.8,33.7
QBR-FH 0418-68A,70.0,3150.0,6000.0,0.12,720.0,2130.0,35.5
QBR-FH 0447-68,85.0,3825.0,6730.0,0.12,807.6,2097.4,31.2
QBR-FH 0448-68,95.0,4275.0,7240.0,0.12,868.8,2096.2,29.0
QBR-FH 0452-68,85.0,3825.0,6730.0,0.12,807.6,2097.4,31.2
QBR-FH 0453-68,90.0,4050.0,6990.0,0.12,838.8,2101.2,30.1
QBR-FH 0454-68,100.0,4500.0,7240.0,0.12,868.8,1871.2,25.8
QBR-FH 0454-68A,100.0,4500.0,7240.0,0.12,868.8,1871.2,25.8
QBR-FH 0505-83,85.0,3825.0,6730.0,0.12,807.6,2097.4,31.2
QBR-FH 0606-68,90.0,4050.0,6990.0,0.12,838.8,2101.2,30.1
QBR-FH 0707-49,110.0,4950.0,8280.0,0.12,993.6,2336.4,28.2
QBR-FH 0708-68,90.0,4050.0,6990.0,0.12,838.8,2101.2,30.1
QBR-FH 0709-49,95.0,4275.0,7240.0,0.12,868.8,2096.2,29.0
QBR-FH 0710-49,105.0,4725.0,7760.0,0.12,931.2,2103.8,27.1
QBR-FH 2304-68,90.0,4050.0,7240.0,0.12,868.8,2321.2,32.1
QBR-FH 2610-68,100.0,4500.0,7500.0,0.12,900.0,2100.0,28.0
QBR-FH 3301-68,105.0,4725.0,7500.0,0.12,900.0,1875.0,25.0
QBR-FH 3303-68,95.0,4275.0,6730.0,0.12,807.6,1647.4,24.5
QBR-FH 3304-68,95.0,4275.0,6730.0,0.12,807.6,1647.4,24.5
QBR-FH 3916-68,85.0,3825.0,6730.0,0.12,807.6,2097.4,31.2
QBR-FH 6101-68,100.0,4500.0,7240.0,0.12,868.8,1871.2,25.8
QBR-FH 8004-02,170.0,7650.0,10770.0,0.07,753.9,2366.1,22.0
QBR-KH 0503-39,150.0,6750.0,10000.0,0.07,700.0,2550.0,25.5
QBR-KH 1109-49,145.0,6525.0,9830.0,0.12,1179.6,2125.4,21.6
QBR-KH 3214-12,105.0,4725.0,7500.0,0.12,900.0,1875.0,25.0
QBR-KH 3216-12,120.0,5400.0,7760.0,0.12,931.2,1428.8,18.4
QBR-KH 3217-12,120.0,5400.0,7760.0,0.12,931.2,1428.8,18.4
QBR-KH 3823-39,115.0,5175.0,8280.0,0.12,993.6,2111.4,25.5
QBR-KH 8001-42,150.0,6750.0,10000.0,0.07,700.0,2550.0,25.5
QBR-KH 8006-39,190.0,8550.0,11750.0,0.07,822.5,2377.5,20.2
QBR-KH 8006-82,170.0,7650.0,10770.0,0.07,753.9,2366.1,22.0
QBR-FH 2305-68,95.0,4275.0,6990.0,0.12,838.8,1876.2,26.8
QBR-FH 2306-68,95.0,4275.0,6990.0,0.12,838.8,1876.2,26.8
QBR-K 9005-83,100.0,4500.0,6990.0,0.12,838.8,1651.2,23.6
Q64575,145.0,6525.0,8740.0,0.12,1048.8,1166.2,13.3
Q64576,145.0,6525.0,8740.0,0.12,1048.8,1166.2,13.3
Q64603,146.0,6570.0,8790.0,0.12,1054.8,1165.2,13.3
Q64604,146.0,6570.0,8790.0,0.12,1054.8,1165.2,13.3
Q64605,147.0,6615.0,8850.0,0.12,1062.0,1173.0,13.3
Q64606,152.0,6840.0,9100.0,0.12,1092.0,1168.0,12.8
Q64608,159.0,7155.0,9470.0,0.12,1136.4,1178.6,12.4
Q64609,145.0,6525.0,8740.0,0.12,1048.8,1166.2,13.3
Q64610,145.0,6525.0,8740.0,0.12,1048.8,1166.2,13.3
Q64611,148.0,6660.0,8900.0,0.12,1068.0,1172.0,13.2
Q64612,157.0,7065.0,9030.0,0.12,1083.6,881.4,9.8
Q64614,113.0,5085.0,6880.0,0.12,825.6,969.4,14.1
Q64615,155.0,6975.0,9260.0,0.12,1111.2,1173.8,12.7
Q64616,155.0,6975.0,9260.0,0.12,1111.2,1173.8,12.7
Q64619,153.0,6885.0,9160.0,0.12,1099.2,1175.8,12.8
Q64621,150.0,6750.0,9000.0,0.12,1080.0,1170.0,13.0
Q64626,115.0,5175.0,6930.0,0.12,831.6,923.4,13.3
Q64627,115.0,5175.0,6930.0,0.12,831.6,923.4,13.3
Q64628,116.0,5220.0,6990.0,0.12,838.8,931.2,13.3
Q64629,116.0,5220.0,6990.0,0.12,838.8,931.2,13.3
Q64630,99.0,4455.0,6050.0,0.12,726.0,869.0,14.4
Q64687,121.0,5445.0,7350.0,0.12,882.0,1023.0,13.9
Q64688,115.0,5175.0,6990.0,0.12,838.8,976.2,14.0
Q64690,141.0,6345.0,8480.0,0.12,1017.6,1117.4,13.2
Q64691,115.0,5175.0,6990.0,0.12,838.8,976.2,14.0
Q64692,91.0,4095.0,6000.0,0.12,720.0,1185.0,19.8
Q64748,140.0,6300.0,8330.0,0.12,999.6,1030.4,12.4
Q64751,109.0,4905.0,6620.0,0.12,794.4,920.6,13.9
Q64901,115.0,5175.0,6930.0,0.12,831.6,923.4,13.3
Q64902,115.0,5175.0,6930.0,0.12,831.6,923.4,13.3
Q64906,101.0,4545.0,6160.0,0.12,739.2,875.8,14.2
Q64908,102.0,4590.0,6210.0,0.12,745.2,874.8,14.1
Q64911,100.0,4500.0,6110.0,0.12,733.2,876.8,14.4
Q64912,100.0,4500.0,6110.0,0.12,733.2,876.8,14.4
Q64913,101.0,4545.0,6160.0,0.12,739.2,875.8,14.2
Q64914,101.0,4545.0,6160.0,0.12,739.2,875.8,14.2
Q64921,114.0,5130.0,6830.0,0.12,819.6,880.4,12.9
Q64922,114.0,5130.0,6830.0,0.12,819.6,880.4,12.9
Q65115,108.0,4860.0,6470.0,0.12,776.4,833.6,12.9
Q65116,110.0,4950.0,6570.0,0.12,788.4,831.6,12.7
Q65148,180.0,8100.0,10000.0,0.07,700.0,1200.0,12.0
Q65154,170.0,7650.0,10000.0,0.07,700.0,1650.0,16.5
Q65155,170.0,7650.0,10000.0,0.07,700.0,1650.0,16.5
Q65156,146.0,6570.0,8640.0,0.12,1036.8,1033.2,12.0
Q65157,180.0,8100.0,10000.0,0.07,700.0,1200.0,12.0
Q65179,108.0,4860.0,6570.0,0.12,788.4,921.6,14.0
Q65197,122.0,5490.0,7300.0,0.12,876.0,934.0,12.8
Q65198,110.0,4950.0,6680.0,0.12,801.6,928.4,13.9
Q65399,110.0,4950.0,6680.0,0.12,801.6,928.4,13.9
Q65401,110.0,4950.0,6680.0,0.12,801.6,928.4,13.9
Q68215,112.63,5068.35,6970.0,0.12,836.4,1065.25,15.3
Q68220,101.34,4560.3,6160.0,0.12,739.2,860.5,14.0
Q68223,106.93,4811.85,6620.0,0.12,794.4,1013.75,15.3
Q68400,156.0,7020.0,9310.0,0.12,1117.2,1172.8,12.6
Q68413,144.63,6508.35,8740.0,0.12,1048.8,1182.85,13.5
Q68414,142.52,6413.4,8640.0,0.12,1036.8,1189.8,13.8
Q68439,143.76,6469.2,8690.0,0.12,1042.8,1178.0,13.6
Q68440,156.92,7061.4,9030.0,0.12,1083.6,885.0,9.8
Q68441,157.49,7087.05,9360.0,0.12,1123.2,1149.75,12.3
Q68453,105.0,4725.0,6620.0,0.12,794.4,1100.6,16.6
Q68474,98.52,4433.4,6050.0,0.12,726.0,890.6,14.7
Q68540,108.0,4860.0,8740.0,0.12,1048.8,2831.2,32.4
Q68609,91.0,4095.0,6000.0,0.12,720.0,1185.0,19.8
Q68666,126.0,5670.0,7040.0,0.12,844.8,525.2,7.5
Q68667,126.0,5670.0,7040.0,0.12,844.8,525.2,7.5
Q68670,120.0,5400.0,6860.0,0.12,823.2,636.8,9.3
Q68672,125.0,5625.0,6990.0,0.12,838.8,526.2,7.5
Q68673,125.0,5625.0,6990.0,0.12,838.8,526.2,7.5
Q68676,110.0,4950.0,6160.0,0.12,739.2,470.8,7.6
Q68678,108.0,4860.0,6050.0,0.12,726.0,464.0,7.7
Q68680,107.0,4815.0,6000.0,0.12,720.0,465.0,7.8
Q68682,107.0,4815.0,6000.0,0.12,720.0,465.0,7.8
Q68684,107.0,4815.0,6000.0,0.12,720.0,465.0,7.8
Q68686,114.0,5130.0,6520.0,0.12,782.4,607.6,9.3
Q68687,107.0,4815.0,6000.0,0.12,720.0,465.0,7.8
Q68689,107.0,4815.0,6000.0,0.12,720.0,465.0,7.8
Q68691,107.0,4815.0,6000.0,0.12,720.0,465.0,7.8
Q68693,107.0,4815.0,6000.0,0.12,720.0,465.0,7.8
Q68695,109.0,4905.0,6110.0,0.12,733.2,471.8,7.7
Q68697,107.0,4815.0,6000.0,0.12,720.0,465.0,7.8
Q68699,107.0,4815.0,6000.0,0.12,720.0,465.0,7.8
Q68701,107.0,4815.0,6000.0,0.12,720.0,465.0,7.8
Q68703,107.0,4815.0,6620.0,0.12,794.4,1010.6,15.3
Q68705,108.0,4860.0,6050.0,0.12,726.0,464.0,7.7
Q68730,179.0,8055.0,10000.0,0.07,700.0,1245.0,12.4
Q68731,145.0,6525.0,8120.0,0.12,974.4,620.6,7.6
Q68738,117.0,5265.0,6570.0,0.12,788.4,516.6,7.9
Q68741,117.0,5265.0,6570.0,0.12,788.4,516.6,7.9
Q68743,120.0,5400.0,6730.0,0.12,807.6,522.4,7.8
Q68744,117.0,5265.0,6570.0,0.12,788.4,516.6,7.9
Q68745,117.0,5265.0,6570.0,0.12,788.4,516.6,7.9
Q68746,117.0,5265.0,6570.0,0.12,788.4,516.6,7.9
Q68747,117.0,5265.0,6570.0,0.12,788.4,516.6,7.9
Q68748,174.0,7830.0,9520.0,0.12,1142.4,547.6,5.8
Q68751,147.0,6615.0,7810.0,0.12,937.2,257.8,3.3
Q68839,102.63,4618.35,6310.0,0.12,757.2,934.45,14.8
Q68935,192.0,8640.0,10080.0,0.07,705.6,734.4,7.3
QBR-F 1163-18,210.0,9450.0,11750.0,0.07,822.5,1477.5,12.6
QBR-FH 0408-68,85.0,3825.0,6210.0,0.12,745.2,1639.8,26.4
QBR-FH 1104-02,83.0,3735.0,6000.0,0.12,720.0,1545.0,25.8
QBR-FH 3910-01,100.0,4500.0,6990.0,0.12,838.8,1651.2,23.6
QBR-K 0534-39,130.0,5850.0,7760.0,0.12,931.2,978.8,12.6
QBR-K 0535-39,115.0,5175.0,7240.0,0.12,868.8,1196.2,16.5
QBR-K 0545-39,107.0,4815.0,6050.0,0.12,726.0,509.0,8.4
QBR-K 0547-39,107.0,4815.0,6150.0,0.12,738.0,597.0,9.7
QBR-K 0549-39,135.0,6075.0,8020.0,0.12,962.4,982.6,12.3
QBR-K 0551-39,98.0,4410.0,6000.0,0.12,720.0,870.0,14.5
QBR-K 0553-39,135.0,6075.0,8020.0,0.12,962.4,982.6,12.3
QBR-K 0610-65,210.0,9450.0,12240.0,0.07,856.8,1933.2,15.8
QBR-K 0611-65,210.0,9450.0,12240.0,0.07,856.8,1933.2,15.8
QBR-K 0612-65,210.0,9450.0,12240.0,0.07,856.8,1933.2,15.8
QBR-K 0622-68,80.0,3600.0,6000.0,0.12,720.0,1680.0,28.0
QBR-K 0623-68,80.0,3600.0,6000.0,0.12,720.0,1680.0,28.0
QBR-K 0628-65,220.0,9900.0,12730.0,0.07,891.1,1938.9,15.2
QBR-K 0629-65,220.0,9900.0,12730.0,0.07,891.1,1938.9,15.2
QBR-K 0630-65,220.0,9900.0,12730.0,0.07,891.1,1938.9,15.2
QBR-K 1115-36,80.0,3600.0,6000.0,0.12,720.0,1680.0,28.0
QBR-K 1125-65A,103.0,4635.0,6000.0,0.12,720.0,645.0,10.8
QBR-K 1137-XP,360.0,16200.0,19090.0,0.07,1336.3,1553.7,8.1
QBR-K 1138-XP,370.0,16650.0,19570.0,0.07,1369.9,1550.1,7.9
QBR-K 2319-65,105.0,4725.0,6000.0,0.12,720.0,555.0,9.2
QBR-K 3823-39,143.0,6435.0,7920.0,0.12,950.4,534.6,6.8
QBR-K 3907-82,107.0,4815.0,6050.0,0.12,726.0,509.0,8.4
QBR-K 3913-82,107.0,4815.0,6050.0,0.12,726.0,509.0,8.4
QBR-K 4114-39,108.0,4860.0,6110.0,0.12,733.2,516.8,8.5
QBR-K 6619-39,99.0,4455.0,6000.0,0.12,720.0,825.0,13.8
QBR-K 6620-39,99.0,4455.0,6000.0,0.12,720.0,825.0,13.8
QBR-K 7012-56,105.0,4725.0,6000.0,0.12,720.0,555.0,9.2
QBR-K 7015-56,165.0,7425.0,10040.0,0.07,702.8,1912.2,19.0
QBR-K 8000-67,160.0,7200.0,10000.0,0.07,700.0,2100.0,21.0
QBR-K 8000-75,127.0,5715.0,7090.0,0.12,850.8,524.2,7.4
QBR-K 8008-68,80.0,3600.0,6000.0,0.12,720.0,1680.0,28.0
QBR-K 8010-75,122.0,5490.0,6830.0,0.12,819.6,520.4,7.6
QBR-K 8012-67,175.0,7875.0,11260.0,0.07,788.2,2596.8,23.1
QBR-K 8013-67,220.0,9900.0,12380.0,0.07,866.6,1613.4,13.0
QBR-K 8015-82,160.0,7200.0,10000.0,0.07,700.0,2100.0,21.0
QBR-K 8016-75,105.0,4725.0,6000.0,0.12,720.0,555.0,9.2
QBR-K 8021-39,145.0,6525.0,9050.0,0.12,1086.0,1439.0,15.9
QBR-K 8023-39,130.0,5850.0,7760.0,0.12,931.2,978.8,12.6
QBR-K 8024-39,260.0,11700.0,16150.0,0.07,1130.5,3319.5,20.6
QBR-K 9044-30,115.0,5175.0,7240.0,0.12,868.8,1196.2,16.5
QBR-K 9045-30,80.0,3600.0,6000.0,0.12,720.0,1680.0,28.0
QBR-KH 0410-83,115.0,5175.0,7760.0,0.12,931.2,1653.8,21.3
QBR-KH 0411-83,115.0,5175.0,7760.0,0.12,931.2,1653.8,21.3
QBR-KH 1102-49,85.0,3825.0,6000.0,0.12,720.0,1455.0,24.2
Q65330,167.0,7515.0,9880.0,0.12,1185.6,1179.4,11.9
Q B8 (під VW),112.0,5040.0,6420.0,0.12,770.4,609.6,9.5
Q G6 (під VW),112.0,5040.0,6420.0,0.12,770.4,609.6,9.5
Q G7 (під VW),112.0,5040.0,6420.0,0.12,770.4,609.6,9.5
Q G8 (під VW),116.0,5220.0,6620.0,0.12,794.4,605.6,9.1
QCVBU 4089 FD 02,90.0,4050.0,6000.0,0.12,720.0,1230.0,20.5
QCVBU 4089 MB 05,107.0,4815.0,6110.0,0.12,733.2,561.8,9.2
QIV-Q5-103 Audi,500.0,22500.0,30180.0,0.05,1509.0,6171.0,20.4
QIV-Q2-7-BMW_E39,230.0,10350.0,14680.0,0.07,1027.6,3302.4,22.5
QIV-Q2-7-BMW_E53,230.0,10350.0,14680.0,0.07,1027.6,3302.4,22.5
QIV-Q1-10-2_64,73.0,3285.0,6000.0,0.12,720.0,1995.0,33.2
QIV-Q1-9-2_64,73.0,3285.0,6000.0,0.12,720.0,1995.0,33.2
10-2KM300S-360,265.0,11925.0,15420.0,0.07,1079.4,2415.6,15.7
10M300S-FT-0Din,230.0,10350.0,13700.0,0.07,959.0,2391.0,17.5
9M300S-FT-0Din,230.0,10350.0,13700.0,0.07,959.0,2391.0,17.5
M7Plus-10,365.0,16425.0,19480.0,0.07,1363.6,1691.4,8.7
10M700S,315.0,14175.0,19330.0,0.07,1353.1,3801.9,19.7
