supplier_cat_id	supplier_cat	offers	rz_id	rz_name	tier	competitor_top	note
95118334	LVT плитка для підлоги	21	4641184	ПВХ покриття	manual	ПВХ покриття 59/107	55%; LVT для підлоги — підлогове ПВХ покриття
95118342	PET плитка 600*300	73	4629548	Декоративні панелі	manual	Декоративні панелі 118/201	59%; стінова PET плитка — панель для стін, ПВХ покриття — підлога
110	PET плитка 900*400	2	4629548	Декоративні панелі	manual	Декоративні панелі 56/104	54%; як сусідня PET 600*300
95118343	PET плитка в рулоні 600*3000	35	4648788	Самоклейні плівки	confirmed	Самоклейні плівки 116/182	
123	PЕT плитка 1200*3000	8	4648788	Самоклейні плівки	manual	Самоклейні плівки 46/103	45% проти 31% панелей; як сусідня PET у рулоні 600*3000 (64%)
193	Інтер’єрні самоклеючі панелі під шкіру	8	4629548	Декоративні панелі	confirmed	Декоративні панелі 51/54	
95118323	Алюмінієва плитка	21	4629548	Декоративні панелі	confirmed	Декоративні панелі 133/181	
95118327	Вологопоглинаючий килимок	29	142254	Килими	confirmed	Килими 160/162	
191	Вінілова плитка 400*400	2	4629548	Декоративні панелі	confirmed	Декоративні панелі 64/90	
95118345	Вінілова плитка 600*300	20	4629548	Декоративні панелі	confirmed	Декоративні панелі 143/213	
95118318	Вінілова плитка в рулоні	34	4648788	Самоклейні плівки	confirmed	Самоклейні плівки 111/168	
125	Вінілова плитка ковролін 300*300мм	9	4625988	Ковролін	manual	Ковролін 93/166	56%; сусідні ковролінові 66–71%
128	Вінілова плитка ковролін 500*500мм	6	4625988	Ковролін	confirmed	Ковролін 87/124	
126	Вінілова плитка ковролін 600*600мм	9	4625988	Ковролін	confirmed	Ковролін 129/194	
127	Вінілова плитка ковролін у рулоні 600*3000мм	6	4625988	Ковролін	confirmed	Ковролін 110/156	
95118347	Вінілова плитка під ламінат	14	4641184	ПВХ покриття	manual	ПВХ покриття 92/189	49% проти 40% панелей; «під ламінат» 152×914 — підлогові планки
95118348	Вініловий молдинг	6	4648788	Самоклейні плівки	owner	Самоклейні плівки 81/144	молдинг 5000×100: плівки 56% / плінтуси 30% — за змістом ні те, ні те → рішення власника 11.09: рекомендований варіант
95118319	Вінілові картини на стіну	6	4629548	Декоративні панелі	confirmed	Декоративні панелі 100/157	
120	Декоративні дзеркальні наклейки	14	4630668	Дзеркала	confirmed	Дзеркала 135/175	
95118338	Екошкіра самоклеюча у рулоні	20	4648788	Самоклейні плівки	owner	Спеціальні тканини 5/10	екошкіра: у пошуку лише 10 товарів, «Спеціальні тканини» 5 — доказів замало → рішення власника 11.09: рекомендований варіант
118	Етажерки мобільні	3	4652744	Етажерки	confirmed	Етажерки 144/158	
131	Звукоізоляційні панелі	9	4629548	Декоративні панелі	confirmed	Декоративні панелі 89/95	конкуренти 94% у панелях, не у «Звукоізоляції»
88277606	Коврик складний	16	4674142	Ігрові килимки	confirmed	Ігрові килимки 108/113	
95118312	Кольорові 3мм	26	4629548	Декоративні панелі	confirmed	Декоративні панелі 148/149	
95118339	Композитна плитка	14	4659010	Плитка для вулиці	owner	ПВХ покриття 54/118	ДПК 300×300×23 — терасна плитка; ПВХ покриття 46% за змістом хибне (не ПВХ) → рішення власника 11.09: рекомендований варіант
117	Контейнери для зберігання	2	4652702	Контейнери та коробки для зберігання	confirmed	Контейнери та коробки для зберігання 53/82	
194	Мʼякі велюрові панелі	8	4629548	Декоративні панелі	confirmed	Декоративні панелі 72/75	
114	Мозаїка з декоративного скла	12	4660237	Плитка мозаїка	confirmed	Плитка мозаїка 120/169	
124	Молдинг	19	4640984	Комплектуючі для оздоблення	owner	Аксесуари для меблевої фурнітури 37/101	молдинг: меблева фурнітура 37 / плівки 32 / стельові плінтуси 17 → рішення власника 11.09: рекомендований варіант
113	Надувні меблі	8	83646	Надувні меблі й аксесуари	confirmed	Надувні меблі й аксесуари 102/105	
95118295	ПВХ панелі 960*480мм	38	4629548	Декоративні панелі	confirmed	Декоративні панелі 132/211	
95118310	ПВХ панелі на самоклейці	12	4629548	Декоративні панелі	confirmed	Декоративні панелі 137/195	
95118367	Панелі 2мм	11	4629548	Декоративні панелі	confirmed	Декоративні панелі 160/161	
89190870	Панелі бамбук	13	4629548	Декоративні панелі	confirmed	Декоративні панелі 116/118	
95118311	Панелі в рулоні	43	4629548	Декоративні панелі	confirmed	Декоративні панелі 178/178	
92050378	Панелі декор	43	4629548	Декоративні панелі	confirmed	Декоративні панелі 191/192	
89190871	Панелі дерево	15	4629548	Декоративні панелі	confirmed	Декоративні панелі 185/185	
91008800	Панелі дитячі	3	4629548	Декоративні панелі	confirmed	Декоративні панелі 165/169	
95118314	Панелі камінь	8	4629548	Декоративні панелі	confirmed	Декоративні панелі 206/206	
95118316	Панелі катеринославська цегла	18	4629548	Декоративні панелі	confirmed	Декоративні панелі 168/169	
95118313	Панелі кладка	6	4629548	Декоративні панелі	confirmed	Декоративні панелі 195/197	
89190869	Панелі мармур	12	4629548	Декоративні панелі	confirmed	Декоративні панелі 208/210	
