catName	cat	sku	id	стан
Вагінальні кульки та тренажери	9478	AD40551	36707650	закрито 02.09
Вагінальні кульки та тренажери	9478	AL40563	36709359	закрито 02.09
Вагінальні кульки та тренажери	9478	AL40571	36707157	було закрито раніше
Вагінальні кульки та тренажери	9478	SO3042	36707922	закрито 02.09
Вагінальні кульки та тренажери	9478	SX3127	36712409	закрито 02.09
Вагінальні кульки та тренажери	9478	SX3170	36711310	закрито 02.09
Вібратори	9466	SO5415	36707706	закрито 02.09
Вібратори	9466	SO7048	36709574	закрито 02.09
Вібратори	9466	SX1215	36711199	закрито 02.09
Догляд за секс-іграшками	9448	F16005	36709283	закрито 02.09
Догляд за секс-іграшками	9448	F16012	36708171	закрито 02.09
Догляд за секс-іграшками	9448	SO1354	36707571	закрито 02.09
Догляд за секс-іграшками	9448	SO2004	36707309	закрито 02.09
Догляд за секс-іграшками	9448	SO2437	36707768	закрито 02.09
Догляд за секс-іграшками	9448	SO2802	36707969	закрито 02.09
Догляд за секс-іграшками	9448	SO2803	36707727	закрито 02.09
Догляд за секс-іграшками	9448	SO3217	36707747	закрито 02.09
Догляд за секс-іграшками	9448	SO3845	36708767	закрито 02.09
Догляд за секс-іграшками	9448	SO4467	36707899	закрито 02.09
Догляд за секс-іграшками	9448	SO5728	36707892	закрито 02.09
Догляд за секс-іграшками	9448	SO5729	36709141	закрито 02.09
Догляд за секс-іграшками	9448	SO7824	36708509	закрито 02.09
Догляд за секс-іграшками	9448	SO8126	36710057	закрито 02.09
Догляд за секс-іграшками	9448	SX1118	36711339	закрито 02.09
Догляд за секс-іграшками	9448	SX2732	36711499	закрито 02.09
Догляд за секс-іграшками	9448	SX3220	36711473	закрито 02.09
Догляд за секс-іграшками	9448	SX3224	36711125	закрито 02.09
Екстендери та помпи	9476	BM-30-CC	36707254	було закрито раніше
Екстендери та помпи	9476	E22146	36709376	закрито 02.09
Екстендери та помпи	9476	HM-20-BR	36707313	було закрито раніше
Екстендери та помпи	9476	HM-20-CC	36707960	було закрито раніше
Екстендери та помпи	9476	HM-30-CC	36707239	було закрито раніше
Екстендери та помпи	9476	HM-30-X-CC	36707455	було закрито раніше
Екстендери та помпи	9476	HM-40-BR	36707279	було закрито раніше
