cat	catName	code	attr	type	source	value	sku
9478	Вагінальні кульки та тренажери	13954	Тип товару	select	db	тренажер	AL40571
9466	Вібратори	10173	Підігрів	select	binary		SO1340
9466	Вібратори	3369	Призначення	select	none		SO1340
9466	Вібратори	3106	Вид	select	none		SO1340
9466	Вібратори	3103	Тип приладу	select	none		SO1340
9466	Вібратори	13037	Конструкція	select	none		SO1340
9466	Вібратори	10210	Керування через застосунок (Smart)	select	binary		SO1340
9466	Вібратори	9977	Кілька насадок	select	binary		SO1340
9466	Вібратори	4212	Кількість режимів роботи	select	none		SO1340
9466	Вібратори	11988	Кріплення на присоску	select	binary		SO1340
9466	Вібратори	11367	Телескопічний	select	binary		SO1340
9624	Засоби для збільшення члену	15782	Збільшення довжини	select	binary		PJ12910
9624	Засоби для збільшення члену	15754	Їстівна формула	select	binary		PJ12910
9624	Засоби для збільшення члену	15749	Збуджуючий	select	binary		PJ12910
9624	Засоби для збільшення члену	15781	Тип впливу	select	none		PJ12910
9624	Засоби для збільшення члену	15783	Збільшення товщини	select	binary		PJ12910
9624	Засоби для збільшення члену	15784	Посилення ерекції	select	binary		PJ12910
9624	Засоби для збільшення члену	15768	Посилення чутливості	select	binary		PJ12910
9624	Засоби для збільшення члену	15785	Подовження статевого акту	select	binary		PJ12910
9624	Засоби для збільшення члену	15786	Посилення кровообігу	select	binary		PJ12910
9624	Засоби для збільшення члену	15780	Тип	select	none		PJ12910
9624	Засоби для збільшення члену	15787	З перцем	select	binary		PJ12910
9624	Засоби для збільшення члену	15766	Аромат	select	none		PJ12910
9624	Засоби для збільшення члену	15764	Основа засобу	select	none		PJ12910
9624	Засоби для збільшення члену	15788	Для джелкінгу (масажний)	select	binary		PJ12910
9632	Олія для еротичного масажу	15742	Об’єм	select	prom-inval	50	SO2357
9632	Олія для еротичного масажу	15741	Кількість	select	none		SO2357
9620	Аксесуари для мастурбаторів	15300	Основний матеріал	select	none		F19266
9620	Аксесуари для мастурбаторів	78	Колір виробника	multiselect	text-many	айс, вайс, він	F19266
9468	Секс-ляльки	5223	Анальний отвір	select	binary		SO2490
9468	Секс-ляльки	5414	Тип фігури	select	text	середня	SO2490
9468	Секс-ляльки	6092	Позиція тіла	select	none		SO2490
9468	Секс-ляльки	6303	Тип ляльки	select	none		SO2490
9468	Секс-ляльки	6151	Стать ляльки	select	none		SO2490
9468	Секс-ляльки	4251	Сенсорне реагування	select	binary		SO2490
9468	Секс-ляльки	4793	Звукові ефекти	select	binary		SO2490
9468	Секс-ляльки	5255	Вагінальний отвір	select	binary		SO2490
9468	Секс-ляльки	5262	Колір волосся	select	none		SO2490
9468	Секс-ляльки	5024	Сумісність з VR	select	binary		SO2490
9468	Секс-ляльки	5181	Статевий член	select	binary		SO2490
9468	Секс-ляльки	5197	Оральний отвір	select	binary		SO2490
9474	Насадки на член	7192	Текстура поверхні	select	none		MD0388
9474	Насадки на член	7215	Тип	select	none		MD0388
9474	Насадки на член	13037	Конструкція	select	prom-inval	односторонні	MD0388
9466	Вібратори	4212	Кількість режимів роботи	select	db-inval	160	SO1403
9526	Аксесуари до інтимних іграшок	14746	Тип аксесуара	select	none		BM-VP
9526	Аксесуари до інтимних іграшок	14747	Основний матеріал	select	none		BM-VP
9526	Аксесуари до інтимних іграшок	78	Колір виробника	multiselect	none		BM-VP
9526	Аксесуари до інтимних іграшок	2845	Колір	select	none		BM-VP
9632	Олія для еротичного масажу	15744	Аромат	select	db	ваніль	SO2373
9632	Олія для еротичного масажу	15743	Стать	select	db	унісекс	SO2373
9632	Олія для еротичного масажу	15742	Об’єм	select	db-inval	3	SO2373
9632	Олія для еротичного масажу	15741	Кількість	select	none		SO2373
9472	Мастурбатори	3106	Вид	select	db	реалістичні	MD1137
9632	Олія для еротичного масажу	15742	Об’єм	select	prom-inval	100	SO2379
9632	Олія для еротичного масажу	15741	Кількість	select	none		SO2379
9624	Засоби для збільшення члену	15782	Збільшення довжини	select	binary		PJ12900
9624	Засоби для збільшення члену	15754	Їстівна формула	select	binary		PJ12900
9624	Засоби для збільшення члену	15781	Тип впливу	select	text	накопичувальний	PJ12900
9624	Засоби для збільшення члену	15783	Збільшення товщини	select	binary		PJ12900
9624	Засоби для збільшення члену	15784	Посилення ерекції	select	binary		PJ12900
9624	Засоби для збільшення члену	15785	Подовження статевого акту	select	binary		PJ12900
9624	Засоби для збільшення члену	15786	Посилення кровообігу	select	binary		PJ12900
9624	Засоби для збільшення члену	15780	Тип	select	text	крем	PJ12900
9624	Засоби для збільшення члену	15787	З перцем	select	binary		PJ12900
9624	Засоби для збільшення члену	15766	Аромат	select	none		PJ12900
9624	Засоби для збільшення члену	15764	Основа засобу	select	none		PJ12900
9624	Засоби для збільшення члену	15788	Для джелкінгу (масажний)	select	binary		PJ12900
9484	Анальні пробки	13948	Тип товару	select	none		SO1998
9484	Анальні пробки	11579	Вібрація	select	binary		SO1998
