checked	group	marker	search	run	main	partial	blocks	skus
2026-09-15 15:12	ua	зорвінтал	ua	1	0	0	0	
2026-09-15 15:12	ua	зорвінтал	ua	2	0	0	0	
2026-09-15 15:12	ua	зорвінтал	ru	1	0	0	0	
2026-09-15 15:12	ua	зорвінтал	ru	2	0	0	0	
2026-09-15 15:12	ru	квербаліс	ua	1	0	0	0	
2026-09-15 15:12	ru	квербаліс	ua	2	0	0	0	
2026-09-15 15:12	ru	квербаліс	ru	1	0	0	0	
2026-09-15 15:12	ru	квербаліс	ru	2	0	0	0	
2026-09-16 03:02	ua	зорвінтал	ua	1	8	0	8	SO2540,SO2802,SO3771,SO9179,SX2253,SX3681,SX3684,SX3907
2026-09-16 03:02	ua	зорвінтал	ua	2	8	0	8	SO2540,SO2802,SO3771,SO9179,SX2253,SX3681,SX3684,SX3907
2026-09-16 03:02	ua	зорвінтал	ru	1	8	0	8	SO2540,SO2802,SO3771,SO9179,SX2253,SX3681,SX3684,SX3907
2026-09-16 03:02	ua	зорвінтал	ru	2	8	0	8	SO2540,SO2802,SO3771,SO9179,SX2253,SX3681,SX3684,SX3907
2026-09-16 03:02	ru	квербаліс	ua	1	7	0	9	SO5964,SO5990,SO6781,SO7018,SO7792,SX0886,SX1110
2026-09-16 03:02	ru	квербаліс	ua	2	7	0	9	SO5964,SO5990,SO6781,SO7018,SO7792,SX0886,SX1110
2026-09-16 03:02	ru	квербаліс	ru	1	7	0	9	SO5964,SO5990,SO6781,SO7018,SO7792,SX0886,SX1110
2026-09-16 03:02	ru	квербаліс	ru	2	7	0	9	SO5964,SO5990,SO6781,SO7018,SO7792,SX0886,SX1110
2026-09-16 05:48	ua	зорвінтал	ua	1	8	0	8	SO2540,SO2802,SO3771,SO9179,SX2253,SX3681,SX3684,SX3907
2026-09-16 05:48	ua	зорвінтал	ua	2	8	0	8	SO2540,SO2802,SO3771,SO9179,SX2253,SX3681,SX3684,SX3907
2026-09-16 05:48	ua	зорвінтал	ru	1	8	0	8	SO2540,SO2802,SO3771,SO9179,SX2253,SX3681,SX3684,SX3907
2026-09-16 05:48	ua	зорвінтал	ru	2	8	0	8	SO2540,SO2802,SO3771,SO9179,SX2253,SX3681,SX3684,SX3907
2026-09-16 05:48	ru	квербаліс	ua	1	7	0	9	SO5964,SO5990,SO6781,SO7018,SO7792,SX0886,SX1110
2026-09-16 05:48	ru	квербаліс	ua	2	7	0	9	SO5964,SO5990,SO6781,SO7018,SO7792,SX0886,SX1110
2026-09-16 05:48	ru	квербаліс	ru	1	7	0	9	SO5964,SO5990,SO6781,SO7018,SO7792,SX0886,SX1110
2026-09-16 05:48	ru	квербаліс	ru	2	7	0	9	SO5964,SO5990,SO6781,SO7018,SO7792,SX0886,SX1110
2026-09-16 05:48	cheap	мірквалон	ua	1	0	0	0	
2026-09-16 05:48	cheap	мірквалон	ua	2	0	0	0	
2026-09-16 05:48	cheap	мірквалон	ru	1	0	0	0	
2026-09-16 05:48	cheap	мірквалон	ru	2	0	0	0	
2026-09-16 05:48	expensive	тевзаніс	ua	1	0	0	0	
2026-09-16 05:48	expensive	тевзаніс	ua	2	0	0	0	
2026-09-16 05:48	expensive	тевзаніс	ru	1	0	0	0	
2026-09-16 05:48	expensive	тевзаніс	ru	2	0	0	0	
