sku	prom_id	found_pos	other_ours_pos	seen	cat_id	category	price	presence	params	pics	desc_len	name	name_len	kw_count	keywords
SO2399	3152110730	0	0	10	161011	Вибраторы	1889.0	available	13	2	1267	Потужний вібратор Rocks Off Chaiamo Black, soft-touch силікон, до 3-х годин роботи, водостійкий	95	9	вібратори, інтимні іграшки, вібратор для клітора, вібратор rocks off, вібратор рокс оф, rocks off chaiamo black, чорний вібратор, чорний вібратор rocks off, силіконовий вібратор
SX0972	3152115561	0	0	0	161014	Анальные пробки	1799.0	available	9	7	2056	Анальна пробка з ерекційним кільцем Fun Factory BOOTIE RING slate, діаметр 2,8 см	81	6	кільце fun factory, кільце фан факторі, fun factory bootie ring, силіконове кільце, гіпоалергенний кільце, ерекційне кільце fun factory
SO6310	3152113135	0	0	15	161014	Анальные пробки	869.0	available	8	4	1715	Металева анальна пробка Кролячий хвостик Alive Fluffy Twist Plug L Purple, діаметр 3,8 см	89	9	анальні пробки, анальні іграшки, металева анальна пробка, металева анальна пробка alive, металева анальна пробка елайв, alive fluffy twist, фіолетова металева анальна пробка, водонепроникна металева анальна пробка, анальний плаг alive
SO3886	3152111993	0	0	7	161011	Вибраторы	1799.0	available	9	3	1028	Мінівібромасажер Rianne S: Lovely Leopard Pink, 10 режимів роботи, косметичка-чохол, мед.силікон	96	9	вібратори, інтимні іграшки, вагінальний мінівібромасажер, мінівібромасажер rianne s, rianne s lovely leopard, рожевий мінівібромасажер, рожевий мінівібромасажер rianne s, силіконовий мінівібромасажер, мінівібромасажер 10 режимів
SO1271	3152110082	0	0	30	161016	Насадки на член и эрекционные кольца	519.0	available	7	4	809	Насадка на член Kokos Extreme Sleeve ES.01 розмір M, tpe	56	6	іграшки для чоловіків, насадка член, насадка член kokos, насадка член кокос, kokos extreme sleeve, tpe насадка член
SX4011	3152118703	0	0	13	161013	Мастурбаторы	3849.0	available	6	7	462	Мастурбатор з вібрацією Hismith Male Masturbation Cup, сумісний з секс-машинами бренду	86	9	мастурбатори, іграшки для чоловіків, мастурбатор hismith, мастурбатор хісміт, hismith male masturbation, мастурбатор на водній основі, мастурбатор з вібрацією, штучна вагіна hismith, гумова вагіна hismith
SX3305	3152118188	0	0	18	161018	Вакуумные стимуляторы	1379.0	available	7	8	1976	Вакуумний стимулятор Fun Factory Delicia Rose, 11 режимів роботи, перезаряджуваний, силікон	91	9	вакуумні стимулятори, вакуумний стимулятор fun factory, вакуумний стимулятор фан факторі, fun factory delicia rose, силіконовий вакуумний стимулятор, вакуумний стимулятор 11 режимів, безконтактний стимулятор fun factory, хвильовий стимулятор fun factory, водонепроникний вакуумний стимулятор
SX3706	3152118520	0	0	30	161011	Вибраторы	899.0	available	7	7	491	Вібратор Fun Factory Viola Soft Pink	36	9	вібратори, інтимні іграшки, вагінальний вібратор, вібратор fun factory, вібратор фан факторі, fun factory viola soft, рожевий вібратор, рожевий вібратор fun factory, вібратор на водній основі
SX1564	3152116360	0	0	10	161003	Лубриканты	859.0	available	8	4	1423	Лубрикант спрей для орального сексу Orgie – Wow! Strawberry Ice (10 мл) з охолоджувальним ефектом	97	6	лубриканти, інтимна косметика, спрей orgie, спрей оржі, orgie wow strawberry, охолоджувальний спрей
SO2926	3152110896	0	0	30	161003	Лубриканты	449.0	available	8	3	1023	Масажний гель для інтимних зон Intt Energy Drink (30 мл) розігрівальний	71	5	лубриканти, засоби для масажу, масажний гель, розігрівальний масажний гель, засоби для інтимної гігієни
SO6140	3152112874	1	9	10	161013	Мастурбаторы	3719.0	available	5	5	3002	Мастурбатор-вагіна Fleshlight Pink Lady Mini-Lotus Нова текстура, abs-пластик	77	9	мастурбатори, іграшки для чоловіків, мастурбатор-вагіна нова, мастурбатор-вагіна нова fleshlight, мастурбатор-вагіна нова флешлайт, fleshlight pink lady, рожева мастурбатор-вагіна нова, рожева мастурбатор-вагіна нова fleshlight, пластикова мастурбатор-вагіна нова
SO2815	3152110870	0	0	18	161013	Мастурбаторы	1659.0	available	6	2	1125	Мастурбатор-вагіна Doc Johnson Jessie Andrews - The All American Pussy, ultraskyn	81	7	мастурбатори, іграшки для чоловіків, мастурбатор-вагіна doc johnson, мастурбатор-вагіна док джонсон, doc johnson jessie andrews, штучна вагіна doc johnson, гумова вагіна doc johnson
SX1722	3152116464	1	0	1	161007	БДСМ-игрушки	2299.0	available	4	7	1450	Перлинний комплект Leg Avenue Faux Pearl, One Size, ліф, трусики та наручники, метал	84	8	бдсм іграшки, бдсм аксесуари, наручники leg avenue, наручники лег авеню, leg avenue faux pearl, металеві наручники, наручники для домінування, бдсм наручники leg avenue
SX1300	3152115787	0	0	30	161010	Фаллоимитаторы	1379.0	available	4	9	436	Фалоімітатор на присосці Cocktails by Addiction – Peach Bellini	63	7	фалоімітатори, інтимні іграшки, фалоімітатор addiction, addiction cocktails peach, фалоімітатор на водній основі, фалос реалістичний addiction, дildo addiction
SX3186	3152117739	0	0	20	161011	Вибраторы	4599.0	available	7	10	135	Вібратор Mystim Bon Aparte Pink	31	8	вібратори, інтимні іграшки, вагінальний вібратор, вібратор mystim, вібратор містім, mystim bon aparte, рожевий вібратор, рожевий вібратор mystim
SX3228	3152117771	0	0	0	161011	Вибраторы	2529.0	available	12	10	2860	Смарт-вібратор Magic Motion Ponder Purple, подвійна стимуляція, віброяйце+язичок для клітора, діаметр 3,8 см	108	9	вібратори, інтимні іграшки, віброяйця для клітора, подвійна віброяйця, віброяйця magic motion, magic motion ponder purple, фіолетова віброяйця, фіолетова віброяйця magic motion, силіконова віброяйця
SO2205	3152110322	0	0	5	161011	Вибраторы	2359.0	available	14	5	1590	Потужний вібратор Satisfyer Vibes Master, діаметр 46 мм, гнучкий літій силікон, 12 режимів роботи	97	9	вібратори, інтимні іграшки, вагінальний вібратор, вібратор satisfyer, вібратор сатисфаєр, satisfyer vibes master, силіконовий вібратор, вібратор на акумуляторі, водонепроникний вібратор
SX3636	3152118347	0	0	11	161003	Лубриканты	3799.0	available	4	3	1298	Універсальний лубрикант на силіконовій основі pjur Original 500 мл, 2 в 1, для сексу та масажу	94	6	лубриканти, інтимна косметика, лубрикант pjur, лубрикант пьюр, pjur original, лубрикант на силіконовій основі
SO2461	3152110746	0	0	20	161017	Вакуумные помпы	1799.0	available	6	6	2731	Автоматична вакуумна помпа на акумуляторі Men Powerup	53	2	вакуумні помпи, автоматична вакуумна помпа
SO8851	3152114477	0	0	2	161016	Насадки на член и эрекционные кольца	829.0	available	7	2	2093	Подвійне ерекційне кільце Boners Classic Cock & Ball Ring, діаметр 3 та 3,8 см, силікон	87	7	іграшки для чоловіків, подвійна кільце, кільце boners, boners classic cock, силіконове кільце, гіпоалергенний кільце, ерекційне кільце boners
SX2826	3152117549	0	0	10	161007	БДСМ-игрушки	2489.0	available	3	6	154	Нашийник з повідцем Liebe Seele White & Pink Fairy Goat Leather Collar, шкіра	77	3	бдсм іграшки, бдсм аксесуари, аксесуари для рольових ігор
SX2232	3152116552	0	0	30	161007	БДСМ-игрушки	799.0	available	4	4	485	Паддл Punishment - Purple Lips Paddle - Black	45	3	бдсм іграшки, бдсм аксесуари, аксесуари для рольових ігор
SO1801	3152110223	0	0	20	161013	Мастурбаторы	939.0	available	5	4	1047	Мастурбатор Kokos Haru	22	7	мастурбатори, іграшки для чоловіків, мастурбатор kokos, мастурбатор кокос, kokos haru, штучна вагіна kokos, гумова вагіна kokos
SX1375	3152115829	0	0	30	161014	Анальные пробки	1239.0	available	4	8	177	Анальна пробка Dorcel ONIX PLUG L	33	8	анальні пробки, анальні іграшки, анальна пробка dorcel, анальна пробка дорсель, dorcel onix plug, анальний плаг dorcel, анальний корок dorcel, пробка dorcel
SX2342	3152116988	2	0	30	161007	БДСМ-игрушки	489.0	available	5	3	572	Батіг Flogger Art of Sex, Білий, штучна шкіра	45	7	бдсм іграшки, бдсм аксесуари, батіг art of sex, батіг арт оф секс, art of sex flogger, білий батіг, розігрівальний батіг
SO3506	3152111497	0	0	10	161003	Лубриканты	859.0	available	9	5	1068	Змазка на водній основі JO GELATO White Chocolate Raspberry (120 мл) без цукру та парабенів	91	6	лубриканти, інтимна косметика, змазка водній, змазка водній джо, jo gelato white, білий змазка водній
