sku	prom_id	status	presence	base_presence	in_feed	base_found	q1_a	q1_b	q1_found	name_changed	q2_old_name	q3_query	q3_a	q3_b	q3_found	q3_total	q3_ours_any	q4_ru	error	name_ua	base_name
SO2399	3152110730	on_display	available	available	1	0	0	0	0	0		вібратор rocks off	0	0	0	1487	0	0		Потужний вібратор Rocks Off Chaiamo Black, soft-touch силікон, до 3-х годин роботи, водостійкий	Потужний вібратор Rocks Off Chaiamo Black, soft-touch силікон, до 3-х годин роботи, водостійкий
SX0972	3152115561	on_display	available	available	1	0	0	0	0	0		анальна пробка fun factory	0	0	0	423	0	0		Анальна пробка з ерекційним кільцем Fun Factory BOOTIE RING slate, діаметр 2,8 см	Анальна пробка з ерекційним кільцем Fun Factory BOOTIE RING slate, діаметр 2,8 см
SO6310	3152113135	on_display	available	available	1	0	0	0	0	0		металева анальна пробка alive	0	0	0	601	0	0		Металева анальна пробка Кролячий хвостик Alive Fluffy Twist Plug L Purple, діаметр 3,8 см	Металева анальна пробка Кролячий хвостик Alive Fluffy Twist Plug L Purple, діаметр 3,8 см
SO3886	3152111993	on_display	available	available	1	0	0	0	0	0		мінівібромасажер rianne s	0	0	0	12	0	0		Мінівібромасажер Rianne S: Lovely Leopard Pink, 10 режимів роботи, косметичка-чохол, мед.силікон	Мінівібромасажер Rianne S: Lovely Leopard Pink, 10 режимів роботи, косметичка-чохол, мед.силікон
SO1271	3152110082	on_display	available	available	1	0	0	0	0	0		насадка kokos	0	0	0	1108	0	0		Насадка на член Kokos Extreme Sleeve ES.01 розмір M, tpe	Насадка на член Kokos Extreme Sleeve ES.01 розмір M, tpe
SX4011	3152118703	on_display	available	available	1	0	0	0	0	0		мастурбатор hismith	0	0	0	72	0	0		Мастурбатор з вібрацією Hismith Male Masturbation Cup, сумісний з секс-машинами бренду	Мастурбатор з вібрацією Hismith Male Masturbation Cup, сумісний з секс-машинами бренду
SX3305	3152118188	on_display	available	available	1	0	0	0	0	0		вакуумний стимулятор fun factory	0	0	0	175	0	0		Вакуумний стимулятор Fun Factory Delicia Rose, 11 режимів роботи, перезаряджуваний, силікон	Вакуумний стимулятор Fun Factory Delicia Rose, 11 режимів роботи, перезаряджуваний, силікон
SX3706	3152118520	on_display	available	available	1	0	0	0	0	0		вібратор fun factory	0	0	0	1326	1	0		Вібратор Fun Factory Viola Soft Pink	Вібратор Fun Factory Viola Soft Pink
SX1564	3152116360	on_display	available	available	1	0	0	0	0	0		спрей orgie	0	0	0	244	1	0		Лубрикант спрей для орального сексу Orgie – Wow! Strawberry Ice (10 мл) з охолоджувальним ефектом	Лубрикант спрей для орального сексу Orgie – Wow! Strawberry Ice (10 мл) з охолоджувальним ефектом
SO2926	3152110896	on_display	available	available	1	0	0	0	0	0		лубриканти Без бренда	0	0	0	0	0	0		Масажний гель для інтимних зон Intt Energy Drink (30 мл) розігрівальний	Масажний гель для інтимних зон Intt Energy Drink (30 мл) розігрівальний
SO6140	3152112874	on_display	available	available	1	1	0	1	1	0		мастурбатор-вагіна fleshlight	0	0	0	1819	0	0		Мастурбатор-вагіна Fleshlight Pink Lady Mini-Lotus Нова текстура, abs-пластик	Мастурбатор-вагіна Fleshlight Pink Lady Mini-Lotus Нова текстура, abs-пластик
SO2815	3152110870	on_display	available	available	1	0	0	0	0	0		мастурбатор-вагіна doc johnson	0	0	0	627	0	0		Мастурбатор-вагіна Doc Johnson Jessie Andrews - The All American Pussy, ultraskyn	Мастурбатор-вагіна Doc Johnson Jessie Andrews - The All American Pussy, ultraskyn
SX1722	3152116464	on_display	available	available	1	1	1	1	1	0		перлинний комплект leg avenue	0	0	0	9	0	3		Перлинний комплект Leg Avenue Faux Pearl, One Size, ліф, трусики та наручники, метал	Перлинний комплект Leg Avenue Faux Pearl, One Size, ліф, трусики та наручники, метал
SX1300	3152115787	on_display	available	available	1	0	0	0	0	0		фалоімітатор addiction	0	0	0	448	0	0		Фалоімітатор на присосці Cocktails by Addiction – Peach Bellini	Фалоімітатор на присосці Cocktails by Addiction – Peach Bellini
SX3186	3152117739	on_display	available	available	1	0	0	0	0	0		вібратор mystim	0	0	0	647	0	0		Вібратор Mystim Bon Aparte Pink	Вібратор Mystim Bon Aparte Pink
SX3228	3152117771	on_display	available	available	1	0	0	0	0	0		смарт-вібратор magic motion	0	0	0	163	0	0		Смарт-вібратор Magic Motion Ponder Purple, подвійна стимуляція, віброяйце+язичок для клітора, діаметр 3,8 см	Смарт-вібратор Magic Motion Ponder Purple, подвійна стимуляція, віброяйце+язичок для клітора, діаметр 3,8 см
SO2205	3152110322	on_display	available	available	1	0	0	0	0	0		вібратор satisfyer	0	0	0	1741	0	0		Потужний вібратор Satisfyer Vibes Master, діаметр 46 мм, гнучкий літій силікон, 12 режимів роботи	Потужний вібратор Satisfyer Vibes Master, діаметр 46 мм, гнучкий літій силікон, 12 режимів роботи
SX3636	3152118347	on_display	available	available	1	0	0	0	0	0		лубрикант pjur	0	0	0	1988	0	0		Універсальний лубрикант на силіконовій основі pjur Original 500 мл, 2 в 1, для сексу та масажу	Універсальний лубрикант на силіконовій основі pjur Original 500 мл, 2 в 1, для сексу та масажу
SO2461	3152110746	on_display	available	available	1	0	0	0	0	0		вакуумні помпи Men Powerup	0	0	0	200	0	0		Автоматична вакуумна помпа на акумуляторі Men Powerup	Автоматична вакуумна помпа на акумуляторі Men Powerup
SO8851	3152114477	on_display	available	available	1	0	0	0	0	0		кільце boners	0	0	0	558	0	0		Подвійне ерекційне кільце Boners Classic Cock & Ball Ring, діаметр 3 та 3,8 см, силікон	Подвійне ерекційне кільце Boners Classic Cock & Ball Ring, діаметр 3 та 3,8 см, силікон
SX2826	3152117549	on_display	available	available	1	0	0	0	0	0		бдсм іграшки Без бренда	0	0	0	4	0	0		Нашийник з повідцем Liebe Seele White & Pink Fairy Goat Leather Collar, шкіра	Нашийник з повідцем Liebe Seele White & Pink Fairy Goat Leather Collar, шкіра
SX2232	3152116552	on_display	available	available	1	0	0	0	0	0		бдсм іграшки Без бренда	0	0	0	4	0	0		Паддл Punishment - Purple Lips Paddle - Black	Паддл Punishment - Purple Lips Paddle - Black
SO1801	3152110223	on_display	available	available	1	0	0	0	0	0		мастурбатор kokos	0	0	0	2489	1	0		Мастурбатор Kokos Haru	Мастурбатор Kokos Haru
SX1375	3152115829	on_display	available	available	1	0	0	0	0	0		анальна пробка dorcel	0	0	0	-1	0	0		Анальна пробка Dorcel ONIX PLUG L	Анальна пробка Dorcel ONIX PLUG L
SX2342	3152116988	on_display	available	available	1	2	2	2	1	0		батіг art of sex	0	0	0	184	0	0		Батіг Flogger Art of Sex, Білий, штучна шкіра	Батіг Flogger Art of Sex, Білий, штучна шкіра
SO3506	3152111497	on_display	available	available	1	0	0	0	0	0		змазка jo	0	0	0	2482	0	0		Змазка на водній основі JO GELATO White Chocolate Raspberry (120 мл) без цукру та парабенів	Змазка на водній основі JO GELATO White Chocolate Raspberry (120 мл) без цукру та парабенів
SX1559	3152116018	on_display	available	available	1	0	0	0	0	0		збуджувальний засіб orgie	0	0	0	0	0	0		Збуджувальний засіб спрей-пролонгатор Orgie Time Lag Delay Spray, 25 мл, без анестетиків, з пантенолом	Збуджувальний засіб спрей-пролонгатор Orgie Time Lag Delay Spray, 25 мл, без анестетиків, з пантенолом
SX1209	3152115636	on_display	available	available	1	1	1	1	1	0		вакуумний кліторальний стимулятор satisfyer	0	0	0	744	0	0		Вакуумний кліторальний стимулятор Satisfyer Mermaid Vibes Mint/Pink, 2 мотори, силікон	Вакуумний кліторальний стимулятор Satisfyer Mermaid Vibes Mint/Pink, 2 мотори, силікон
SO2619	3152110777	on_display	available	available	1	0	0	0	0	0		jo h2o candy	0	0	0	1443	0	0		Лубрикант на водній основі JO H2O — Candy Shop — Bubblegum (60 мл) без цукру та парабенів	Лубрикант на водній основі JO H2O — Candy Shop — Bubblegum (60 мл) без цукру та парабенів
SO4929	3152112359	on_display	available	available	1	0	0	0	0	0		смарт-вібратор satisfyer	0	0	0	767	0	0		Смарт-вібратор для пар Satisfyer Double Love (Blue), силікон	Смарт-вібратор для пар Satisfyer Double Love (Blue), силікон
SO6670	3152113268	on_display	available	available	1	0	0	0	0	0		смартвібратор zalo	0	0	0	192	0	0		Смартвібратор для пар Zalo — Fanfan Bright Red, силікон	Смартвібратор для пар Zalo — Fanfan Bright Red, силікон
SO4296	3152112061	on_display	available	available	1	1	0	2	1	1	0	вакуумний стимулятор kisstoy	0	0	0	200	0	5		Вакуумний стимулятор KISSTOY K-King Pink, силікон	Вакуумний KISSTOY стимулятор KISTOY K-King Pink, силікон
SX3227	3152117770	on_display	available	available	1	0	0	0	0	0		тренажер кегеля magic motion	0	0	0	67	0	0		Тренажер Кегеля смарт-віброяйце Magic Motion Flamingo Max Blue 2 в 1: віброяйце та тренажер Кегеля, 10 режимів	Тренажер Кегеля смарт-віброяйце Magic Motion Flamingo Max Blue 2 в 1: віброяйце та тренажер Кегеля, 10 режимів
SO3552	3152111502	on_display	available	available	1	0	0	0	0	0		вібратор satisfyer	0	0	0	1726	0	0		Вібратор морозиво-спінатор Satisfyer Lay-On - Sweet Treat Pink/Brown, 10 режимів роботи, водонепроникний	Вібратор морозиво-спінатор Satisfyer Lay-On - Sweet Treat Pink/Brown, 10 режимів роботи, водонепроникний
SO6674	3152113272	on_display	available	available	1	0	0	0	0	0		вібратор zalo	0	0	0	1276	1	0		Вібратор для точки G із підігрівом Zalo Sweet Magic - Courage Fairy Pink, діаметр 3,4 см	Вібратор для точки G із підігрівом Zalo Sweet Magic - Courage Fairy Pink, діаметр 3,4 см
SO6959	3152113510	on_display	available	available	1	0	0	0	0	0		смарт-вібратор we-vibe	0	0	0	420	0	0		Смарт-вібратор для точки G We-Vibe Rave G-Spot, діаметр 3,5 см	Смарт-вібратор для точки G We-Vibe Rave G-Spot, діаметр 3,5 см
SO8813	3152114450	on_display	available	available	1	0	0	0	0	0		бдсм іграшки Без бренда	0	0	0	4	0	0		Набір БДСМ Bedroom Fantasies: Kinky Bondage Set 5-piece, наручники, поножі, пов’язка, флогер, свічки, метал	Набір БДСМ Bedroom Fantasies: Kinky Bondage Set 5-piece, наручники, поножі, пов’язка, флогер, свічки, метал
SO5180	3152112461	on_display	available	available	1	0	0	0	0	0		нашийник art of sex	0	0	0	464	0	0		Нашийник з натуральної шкіри Art of Sex - Collar Butterfly, метал	Нашийник з натуральної шкіри Art of Sex -  Collar Butterfly, метал
SO8701	3152114264	on_display	available	available	1	0	2	0	1	1	0	вакуумна помпа men powerup	0	0	0	238	0	4		Вакуумна помпа для вульви Men Powerup Pussy Pump Premium Fun розмір S (11 см), механічний насос	Вакуумна Men Powerup помпа для вульви Pussy Pump Premium Fun розмір S (11 см), механічний насос
