article	category	price	available	cards	rejected	sellers	min	median	max	cheaper	cheapest_seller	rz_cats	name	err
SW-00000302	Декоративні панелі	93.0	True	15	1	8	93	93.5	195	0	LFcolor	4629548	Панель 3D самоклеюча кладка Sticker Wall 700х770х7мм Жовта 037 (SW-00000302)	
SW-00002204	Декоративні панелі	280.0	True	10	1	4	280	284.0	378	0	PROStikerUa	4629548,4641184,4648788	Покриття вінілове самоклеюче 3D рейки Sticker Wall 600х600х2.8мм Світлий мигдаль (SW-00002204)	
SW-00001532	Декоративні панелі	560.0	True	20	2	14	560	681.0	756	0	FOUKS	4629548	Рейка декоративна WPC стінова Sticker Wall 3000х165х23мм Антрацит (SW-00001532)	
SW-00000753	Декоративні панелі	109.0	True	14	1	7	109.0	125	209	0	FOUKS	4629548	Самоклеюча 3D панель Sticker Wall 700х770х5мм Біла цегла смужка срібло 100-5 (SW-00000753)	
SW-00000148	Декоративні панелі	85.0	True	25	1	13	85	89	195	0	LoftWall	4629548	Панель 3D самоклеюча Sticker Wall 700х770х5мм цегла М'ята 012-5 (SW-00000148)	
SW-00003255	Декоративні панелі	76.0	True	41	2	27	58	84	202	5	3DDD	4629548,4641184,4648788,4657848	СВП-115 Самоклеюча вінілова плитка Sticker Wall 400х400х1.5мм МАТ (SW-00003255)	
SW-00003397	Декоративні панелі	1050.0	True	7	1	5	1050	1050	1208	0	PROStikerUa	4629548,4641184,4648788	Покриття вінілове самоклеюче 3D рейки Sticker Wall 600х3000х3мм Темний камінь (SW-00003397)	
SW-00002330	Декоративні панелі	65.0	False	49	1	3	87	111	112	0	Online Shop	4629548,4641184,4648788,4657848,4658998,4659004	Самоклеюча стінова PET плитка Sticker Wall 600х300х2мм (SW-00002330)	
SW-00000019	Декоративні панелі	105.0	True	22	1	12	99	115.5	205	1	LoftWall	4629548	Декоративна 3D панель самоклейка Sticker Wall 700х700х4мм Зебра дерево 081 (SW-00000019)	
SW-00001460	Декоративні панелі	2920.0	False	22	2	4	2920	3285.0	4480	0	LFcolor	4629249,4629548,4640928,4641184,4648788,4657848,4658998	Самоклеюча вінілова плитка набір 6 рулонів Sticker Wall 3600х2800х2мм Агат (SW-00001460)	
SW-00000007	Декоративні панелі	109.0	True	21	1	12	99	126.5	209	1	LoftWall	4629548	Самоклеюча декоративна настінно-стельова 3D панель Sticker Wall 695х700х5мм Павутина 115 (SW-00000007)	
SW-00002349	Декоративні панелі	52.0	True	56	2	31	46	59	112	1	3DDD	4629548,4641184,4648788,4657848,4658998,4659004	Самоклеюча стінова PET плитка Sticker Wall 600х300х2мм (SW-00002349)	
SW-00002298	Декоративні панелі	59.0	True	65	2	37	50	65	115	3	3DDD	4629548,4641184,4648788,4657848,4658998,4659004	Самоклеюча стінова PET плитка Sticker Wall 600х300х2мм (SW-00002298)	
SW-00003019	Декоративні панелі	560.0	True	9	2	7	560	585	1045	0	LFcolor	4629548	Рейка декоративна WPC стінова Sticker Wall 205х14х2900мм (SW-00003019)	
SW-00003242	Декоративні панелі	210.0	True	16	0	7	180	263	380	2	3DDD	4629548,4641184,4648788,4657848	Покриття вінілове самоклеюче 3D рейки Sticker Wall 600х600х2.8мм (SW-00003242)	
SW-00000238	Декоративні панелі	99.0	True	16	1	9	91	108	199	1	3DDD	4629548	Самоклеюча декоративна 3D панель Sticker Wall 700x700x5мм М'ятне дерево 057 (SW-00000238)	
SW-00003325	Декоративні панелі	245.0	True	7	2	4	204	246.0	293	1	3DDD	4629548,4659004	Інтер’єрні самоклеючі панелі під шкіру Sticker Wall 600х600х6ммТемно-сірий (SW-00003325)	
SW-00000573	Декоративні панелі	58.0	True	16	1	11	58	75	158	0	LFcolor	4629548	Панель 3D самоклеюча Sticker Wall 700х770х3мм цегла Бірюза 002-3 (SW-00000573)	
SW-00001914	Декоративні панелі	62.0	True	27	1	17	54	72	157	2	3DDD	4629548	Панель стінова 3D Sticker Wall 700х770х2мм Білий (SW-00001914)	
SW-00002991	Декоративні панелі	1300.0	True	36	2	25	895	1339	2185	4	APEYRON	4625668,4629548,4640896,4641184,4648788	Самоклеюча гнучка штукатурка в рулоні Sticker Wall 600х3000х2.5мм Світлий граніт (SW-00002991)	
SW-00002534	Декоративні панелі	316.0	True	56	2	37	290	354	549	2	3DDD	4629548	R001-2 Панель стінова у рулоні 3D Sticker Wall 700х3080х2мм Біла Цегла (SW-00002534)	
SW-00000181	Декоративні панелі	109.0	True	19	1	13	99	123	209	1	Декостра	4629548	Самоклеюча декоративна настінно-стельова 3D панель Sticker Wall 690x700x4мм Плитка 164 (SW-00000181)	
