article	seller	seller_id	price	pack	price_raw	old_price	status	category_id	id	href	title
SW-00000302	LFcolor	213998	93	1	93	0	available	4629548	600355054	https://build.rozetka.com.ua/ua/600355054/p600355054/	3D панель самоклеюча кладка 700х770х7мм Жовта (037) SW-00000302
SW-00000302	FOUKS	20886	93	1	93	99	available	4629548	276534023	https://build.rozetka.com.ua/ua/276534023/p276534023/	Декоративна 3Д панель стінова Облицювальна цегла Жовтий 700x770x7 мм самоклейка для стін (37) SW-00000302
SW-00000302	Потрібне	274903	115	1	115	0	available	4629548	594897322	https://build.rozetka.com.ua/ua/594897322/p594897322/	3D панель самоклеюча Sticker Wall на стіну, для кухні, ванної кімнати кладка жовта 700х770х7мм SW-00000302
SW-00000302	RMService	15008	195	1	195	299	available	4629548	572808523	https://build.rozetka.com.ua/ua/572808523/p572808523/	3D панель самоклеюча кладка 700х770х7 мм, жовта (037) SW-00000302 (Sticker Wall)
SW-00000302	FOUKS	20886	93.0	10	930	990	available	4629548	276533998	https://build.rozetka.com.ua/ua/276533998/p276533998/	Декоративна 3Д панель стінова Облицювальна цегла Жовтий 10 шт 700x770x7мм самоклейка для стін (37) SW-00000302-10шт
SW-00000302	FOUKS	20886	93.0	5	465	495	available	4629548	276534003	https://build.rozetka.com.ua/ua/276534003/p276534003/	3d панелі для стін Облицювальна цегла Жовтий 5 шт кладка 700x770x7мм (37) SW-00000302-5шт
SW-00000302	Wide Range	211532	107	1	107	0	available	4629548	602615935	https://build.rozetka.com.ua/ua/602615935/p602615935/	3D панель самоклеюча кладка 700х770х7мм Жовта
SW-00000302	MC LitWin	265009	94	1	94	0	available	4629548	597335608	https://build.rozetka.com.ua/ua/597335608/p597335608/	3D панель самоклеюча Sticker Wall SW-00000302 700х770х7 мм цегла жовта
SW-00000302	Bigsylio	266140	93	1	93	0	available	4629548	604054153	https://build.rozetka.com.ua/ua/604054153/p604054153/	3D панелі самоклеючі кладка жовті для стін декорування інтер'єру оздоблення приміщень
SW-00000302	PARADISE	269545	102	1	102	149	available	4629548	594064279	https://build.rozetka.com.ua/ua/594064279/p594064279/	Самоклейна 3D панель ПВХ під цеглу для декорування стін 700х770х7мм Жовтий для спальні та дитячої кімнати оздоблення балкону та лоджії імітація цегляної кладки лофт
