sku,color,name
SO5189,Золотий,"Трусики Art of Sex Villa XS Золотий (SO5189)"
SO5190,Червоний,"Трусики Art of Sex Villa 2XL Червоний (SO5190)"
SO5398,Чорний,"Трусики Art of Sex Aurora XS Чорний (SO5398)"
SO5399,Чорний,"Трусики Art of Sex Aurora 2XL Чорний (SO5399)"
SO7339,Червоний,"Панчохи Art of Sex Lora L Червоний (SO7339)"
SO7343,Червоний,"Панчохи Art of Sex Lora S Червоний (SO7343)"
SO7368,Червоний,"Панчохи Art of Sex Lora M Червоний (SO7368)"
SO7968,Фіолетовий,"Панчохи Leg Avenue Nylon Thigh Highs Neon Purple one"
SO7969,Рожевий,"Панчохи Leg Avenue Nylon Thigh Highs Neon one size Р"
SX0756,Червоний,"Презервативи ONE Tattoo Touch Червоний (SX0756)"
SX0757,Фіолетовий,"Презервативи ONE Tattoo Touch Purple Фіолетовий (SX0"
