sku,max_size
BI-0259,776x1102
BM-270,800x800
F10478,590x590
F10485,590x590
F10492,590x590
F34709,590x590
F34716,590x590
F34952,590x590
F34969,590x590
F34976,590x590
F34983,590x590
PJ10810,650x650
PS26803,600x900
PSM0075,800x1200
PSM0121,800x1200
PSM0123,800x1200
SO1202,500x500
SO1203,500x500
SO1204,500x500
SO1205,500x500
SO1206,500x500
SO1207,500x500
SO1208,500x500
SO1209,500x500
SO1210,500x500
SO1211,500x500
SO1348,495x800
SO1349,415x600
SO1355,567x815
SO1388,264x500
SO1392,800x800
SO1393,800x800
SO1568,700x700
SO1615,567x815
SO1616,567x815
SO1617,567x815
SO1619,567x815
SO1620,567x815
SO1835,400x600
SO1836,400x600
SO1837,400x600
SO1838,400x600
SO1839,400x600
SO1840,400x600
SO1841,400x600
SO1842,400x600
SO1843,400x600
SO1851,400x600
SO1897,400x600
SO1898,400x600
SO1899,800x800
SO1900,400x600
SO1903,400x600
SO1904,500x600
SO1905,400x600
SO1906,1200x600
SO1907,1200x600
SO1908,1200x600
SO1909,1200x600
SO1910,1200x600
SO1911,1200x600
SO1912,1200x600
SO1913,1200x600
SO1914,1200x600
SO1915,1200x600
SO1916,1200x600
SO1917,1200x600
SO1918,1200x600
SO1919,1200x600
SO1920,1200x600
SO1921,1200x600
SO1922,1200x600
SO1923,1200x600
SO1924,1200x600
SO1925,1200x600
SO1926,1200x600
SO1927,1200x600
SO1928,1200x600
SO1929,400x600
SO1930,400x600
SO1931,400x600
SO1939,1200x600
SO1940,1200x600
SO1941,1200x600
SO1942,1200x600
SO1943,1200x600
SO1944,1200x600
SO1945,1200x600
SO1946,1200x600
SO1947,1200x600
SO1948,400x600
SO1949,1200x600
SO1950,1200x600
SO1951,1200x600
SO1952,400x600
SO1953,400x600
SO1954,400x600
SO1993,600x600
SO2240,400x600
SO2241,400x600
SO2242,400x600
SO2243,400x600
SO2244,400x600
SO2245,400x600
SO2247,400x600
SO2248,400x600
SO2249,400x600
SO2250,400x600
SO2251,400x600
SO2252,400x600
SO2253,400x600
SO2254,400x600
SO2255,400x600
SO2256,400x600
SO2257,400x600
SO2258,400x600
SO2259,400x600
SO2373,500x500
SO2374,500x500
SO2375,500x500
SO2376,552x552
SO2382,400x399
SO2383,400x399
SO2384,400x399
SO2385,400x399
SO2386,400x399
SO2387,400x399
SO2493,500x500
SO2494,500x500
SO2495,500x500
SO2496,500x500
SO2498,500x500
SO2499,500x500
SO2500,500x500
SO2501,500x500
SO2502,500x500
SO2503,500x500
SO2527,590x590
SO2528,700x700
SO2529,590x590
SO2530,590x590
SO2696,800x1016
SO2697,800x1016
SO2714,800x1016
SO2736,650x696
SO2813,600x600
SO2824,448x850
SO2984,700x700
SO3094,800x754
SO3095,800x754
SO3096,800x754
SO3097,800x754
SO3189,590x590
SO3190,590x590
SO3208,590x590
SO3209,590x590
SO3210,590x590
SO3211,500x500
SO3213,590x590
SO3214,800x800
SO3218,769x1500
SO3223,719x1500
SO3229,769x1500
SO3232,719x1500
SO3235,646x1500
SO3239,769x1500
SO3240,769x1500
SO3241,769x1500
SO3242,769x1500
SO3243,769x1500
SO3244,719x1500
SO3245,719x1500
SO3246,719x1500
SO3247,719x1500
SO3248,719x1500
SO3255,961x1500
SO3256,590x590
SO3258,761x1500
SO3260,590x590
SO3265,646x1500
SO3270,769x1500
SO3271,769x1500
SO3272,769x1500
SO3273,719x1500
SO3274,719x1500
SO3275,719x1500
SO3280,769x1500
SO3281,719x1500
SO3283,769x1500
SO3284,719x1500
SO3286,590x590
SO3333,580x580
SO3340,500x500
SO3349,800x754
SO3392,500x600
SO3393,500x600
SO3395,500x600
SO3397,500x600
SO3398,500x600
SO3399,735x835
SO3404,735x815
SO3485,800x754
SO3514,800x754
SO3515,800x754
SO3518,800x754
SO3519,800x754
SO3536,769x1500
SO3538,719x1500
SO3903,800x754
SO3904,800x754
SO3905,800x754
SO3912,800x754
SO3913,800x754
SO3914,800x754
SO3986,800x800
SO3987,800x800
SO4304,795x665
SO4369,1163x590
SO4370,1163x590
SO4377,1163x590
SO4378,1163x590
SO4379,1163x590
SO4380,1163x590
SO4381,1163x590
SO4383,1163x590
SO4452,800x754
SO4455,800x754
SO4465,800x800
SO4468,600x600
SO4790,800x754
SO4810,800x800
SO4897,942x1181
SO4932,800x754
SO4933,800x754
SO5244,1163x590
SO5245,1163x590
SO5246,1163x590
SO5247,1163x590
SO5263,1163x590
SO5267,1163x590
SO5286,1163x590
SO5287,1163x590
SO5291,1163x590
SO5306,1163x590
SO5307,1163x590
SO5308,1163x590
SO5391,400x600
SO5451-R,590x590
SO5644,960x960
SO5649,900x1800
SO5654,960x960
SO5655,960x960
SO5656,960x960
SO5657,705x1800
SO5664,900x1125
SO5672,900x1125
SO5673,501x1280
SO5681,501x1280
SO5685,960x960
SO5686,501x1280
SO5692,705x1800
SO5731,960x960
SO5732,960x960
SO5733,960x960
SO5734,960x960
SO5738,960x960
SO5740,960x960
SO5750,550x550
SO5751,550x690
SO5752,550x550
SO5974,385x1238
SO6013,800x754
SO6053,768x768
SO6054,768x768
SO6137,550x550
SO6138,550x550
SO6975,800x754
SO6976,800x754
SO7020,776x1102
SO7836,500x500
SO7841,769x1500
SO8032,680x680
SO8124,590x590
SO8125,590x590
SO8333,930x930
SO8363,800x800
SO8365,800x800
SO8947,856x1200
SO8948,857x1200
SO8949,857x1200
SO8950,857x1200
SO8951,857x1200
SO8952,857x1200
SO8953,857x1200
SO8954,857x1200
SO8955,857x1200
SO8956,857x1200
SO8957,857x1200
SO8958,857x1200
SO8959,857x1200
SO8960,857x1200
SO8961,857x1200
SO8962,857x1200
SO8976,600x900
SO9336,800x800
SO9338,800x800
SO9348,800x754
SO9432,800x800
SO9433,800x800
SO9434,800x800
SO9435,800x800
SO9597,1163x590
SO9599,1163x590
SO9600,1163x590
SO9695,600x900
SO9696,600x900
SO9697,600x900
SO9698,600x900
SO9699,600x900
SO9700,600x900
SO9701,600x900
SO9702,600x900
SO9703,600x900
SO9704,600x900
SO9705,600x900
SO9706,600x900
SO9707,600x900
SO9708,600x901
SO9709,600x900
SO9710,600x900
SO9711,600x900
SO9712,600x900
SO9713,600x900
SO9714,600x900
SO9715,600x900
SO9716,600x900
SO9717,600x900
SO9718,600x900
SO9719,600x900
SO9726,600x900
SO9727,600x900
SO9728,600x900
SO9729,600x900
SO9730,600x900
SO9731,600x900
SO9732,600x900
SO9733,600x900
SO9734,600x900
SO9735,600x900
SO9736,600x900
SO9737,600x900
SO9738,600x900
SO9739,600x900
SO9740,600x900
SO9741,600x900
SO9742,600x900
SO9743,600x900
SO9825,800x1132
SO9826,800x1132
SO9827,800x1132
SO9828,800x1132
SO9829,800x1132
SO9830,800x1132
SO9832,800x1132
SO9836,800x1132
SO9870,316x1659
SO9871,414x1647
SO9872,454x1800
SO9874,317x1651
SO9875,431x1647
SO9876,471x1800
SO9878,317x1651
SO9879,414x1648
SO9880,452x1800
SO9881,443x1800
SO9882,443x1800
SO9896,316x1659
SO9897,414x1647
SO9898,414x1647
SO9899,317x1651
SO9900,431x1647
SO9901,471x1800
SO9902,315x1640
SO9903,414x1648
SO9916,317x1651
SO9917,414x1647
SO9918,454x1800
SX0724,900x900
SX0730,902x1051
SX0731,902x1051
SX0741,987x987
SX0742,987x987
SX0745,987x987
SX0755,987x987
SX0756,987x987
SX0757,987x987
SX0773,987x987
SX0774,987x987
SX0775,800x801
SX0776,987x987
SX0778,987x987
SX1102,600x900
SX1103,600x900
SX1344,600x600
SX1347,600x600
SX1348,600x600
SX1364,600x600
SX1365,600x600
SX1488,800x1132
SX2379,800x800
SX2380,600x600
SX2381,600x600
SX2382,720x720
SX2383,600x600
SX2385,713x713
SX2387,600x600
SX2390,660x1280
SX2394,800x800
SX2398,950x950
SX2545,720x1280
SX2636,612x612
SX2712,880x880
SX2713,880x880
SX3123,800x1016
SX3320,750x750
SX3321,750x750
SX3826,850x924
SX4001,800x800
