value	Изогнутый	Згнутый
name	Материал изделия	Матеріал изделия
value	набор шарнирно-губцевого инструмента	набор шарнирно-губцевого инструмента
name	Длина лезвия	Довжина лезвия
value	Материал кейса: металлическая тележка	Материал кейса: металева тележка
name	Мощность лампы	Потужність лампы
value	Карданы	Карданы
value	Регулируемые опоры	Регульовані опоры
value	Диаметр заклепок: 2.4 мм (3/32"), 3.2 мм (1/8"), 4.0 мм (5/32"), 4.8 мм (3/16")	Диаметр заклепок: 2.4 мм (3/32"), 3.2 мм (1/8"), 4.0 мм (5/32"), 4.8 мм (3/16")
value	SL (шлицевые)	SL (шлицевые)
name	Диаметр соплового отверстия	Діаметр соплового отверстия
value	Настольный	Настільный
value	Рычажный	Ричажный
value	Захваты рихтовочные	Захваты рихтові
value	12 ед.	12 ед.
name	Диаметр клапана	Диаметр клапана
name	Обнаруживаемые материалы	Виявляємі материали
name	Диаметр колес	Диаметр коліс
value	20 ед.	20 ед.
value	10 ед.	10 ед.
value	27 ед.	27 ед.
value	22 ед.	22 ед.
value	Семена овощей|Семена зерновых культур|Мука|Зернопродукты	Семена овочів|Семена зернових культур|Мука|Зернопродукты
value	Градусы|Метрическая	Градусы|Метрическая
value	Древесина|Изделия из древесины|Кирпич|Бетон|Стройматериалы	Древесина|Виробки з древесини|Цегла|Бетон|Будівельні матеріалы
value	Футы|Метрическая|Дюймы	Футы|Метрическая|Дюймы
value	Дюймы|Метрическая	Дюймы|Метрическая
value	24 ед.	24 ед.
value	Промышленные пылесосы	промислові пилососы
