sku	причина	rz_id	категорія	характеристик постачальника	характеристик після фільтрів	характеристики	назва
1013891527	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач підшипників тризахопний 75 мм 3" Стандарт (SP303ST)
1013891553	менше 3 характеристик	4668943	Ключі розрізні	2	2	Бренд | Гарантійний термін	Ключ прокачування 10х13мм затискний Без бренда (ПР1013В)
1013891560	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Набір знімачів тризахопних зі зворотним молотком 15-80 мм Стандарт (SK0362)
1013891561	менше 3 характеристик	4644008	Тестери і вимірники автомобільні	2	2	Бренд | Гарантійний термін	Розрядник для перевірки модулів і котушок запалювання Молния (МОЛН220ПЕР)
1013891580	менше 3 характеристик	4654251	Інспекційне світло для СТО	2	2	Бренд | Тип живлення	Лампа-переносна 10 м Стандарт (ПЕР10С)
1013891594	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач 3-х лаповий кований малий Харків Без бренда (СК4ЛКОВМ)
1013891604	менше 3 характеристик	80247	Інфрачервоні обігрівачі	1	1	Бренд	Інфрачервоне сушіння для авто G.I.Kraft (GI15113)
1013891628	менше 3 характеристик	4670626	Аксесуари та супутні товари для зварювального устаткування	1	1	Бренд	Затискач шайби для спотера G.I. KRAFT G.I.Kraft (GI12156)
1013891631	менше 3 характеристик	4660202	Кримпери	2	2	Бренд | Тип інструмента	Кліщі для обтискання клем 7" Стандарт (PLC0701)
1013891652	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремонтний комплект для фарбопультів GFG Auarita (RK-GFG)
1013891655	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	1	1	Бренд	Гнучкий шланг з наконечником до шприц-оливниці 18" 450 мм G.I. KRAFT G.I.Kraft (K-401-18)
1013891659	менше 3 характеристик	4668943	Ключі розрізні	1	1	Бренд	Ключ прокачки гальм зажимний 7х9 мм Харьков Без бренда (ПР0709Х)
1013891664	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Приспособлення для виправлення автомобіля Toptul (JFBI0113)
1013891675	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач 3-захопний 250 мм 10" Стандарт (SK3L10)
