value	Изогнутый	Вигнутий
name	Материал изделия	Матеріал виробу
value	набор шарнирно-губцевого инструмента	набір шарнірно-губцевого інструмента
name	Длина лезвия	Довжина леза
value	Материал кейса: металлическая тележка	Матеріал кейса: металевий візок
name	Мощность лампы	Потужність лампи
value	Карданы	Кардани
value	Регулируемые опоры	Регульовані опори
value	Диаметр заклепок: 2.4 мм (3/32"), 3.2 мм (1/8"), 4.0 мм (5/32"), 4.8 мм (3/16")	Діаметр заклепок: 2.4 мм (3/32"), 3.2 мм (1/8"), 4.0 мм (5/32"), 4.8 мм (3/16")
value	SL (шлицевые)	SL (шліцеві)
name	Диаметр соплового отверстия	Діаметр соплового отвору
value	Настольный	Настільний
value	Рычажный	Важільний
value	Захваты рихтовочные	Захвати рихтувальні
value	12 ед.	12 од.
name	Диаметр клапана	Діаметр клапана
name	Обнаруживаемые материалы	Виявлювані матеріали
name	Диаметр колес	Діаметр коліс
value	20 ед.	20 од.
value	10 ед.	10 од.
value	27 ед.	27 од.
value	22 ед.	22 од.
value	Семена овощей|Семена зерновых культур|Мука|Зернопродукты	Насіння овочів|Насіння зернових культур|Борошно|Зернопродукти
value	Градусы|Метрическая	Градуси|Метрична
value	Древесина|Изделия из древесины|Кирпич|Бетон|Стройматериалы	Деревина|Вироби з деревини|Цегла|Бетон|Будматеріали
value	Футы|Метрическая|Дюймы	Фути|Метрична|Дюйми
value	Дюймы|Метрическая	Дюйми|Метрична
value	24 ед.	24 од.
value	Промышленные пылесосы	Промислові пилососи
