SKU;Ціна фіду стара;Ціна фіду нова;Зміна фіду %;Наша ціна стара;Наша ціна нова;Зміна нашої %;CPA %;Доступний;Залишок;Причина алерту
103201518;26400.00;26400.00;+0.00%;30280.00;30280.00;+0.00%;14.69%;Ні;*;недоступний у фіді
1129510212;7156.00;7156.00;+0.00%;7810.00;7810.00;+0.00%;9.05%;Ні;*;недоступний у фіді
1129510917;8386.00;8386.00;+0.00%;9150.00;9150.00;+0.00%;9.05%;Ні;*;недоступний у фіді
201021526;52800.00;52800.00;+0.00%;60720.00;60720.00;+0.00%;15.00%;Ні;*;недоступний у фіді
5202-25;2127.00;2127.00;+0.00%;2430.00;2430.00;+0.00%;13.86%;Ні;*;недоступний у фіді
7212521000;8504.00;8504.00;+0.00%;9780.00;9780.00;+0.00%;15.00%;Ні;*;недоступний у фіді
9995260000;6863.00;6863.00;+0.00%;7490.00;7490.00;+0.00%;9.05%;Ні;*;недоступний у фіді
AAAP1417;510.00;510.00;+0.00%;590.00;590.00;+0.00%;15.08%;Ні;*;недоступний у фіді
AAAR4242;688.00;688.00;+0.00%;800.00;800.00;+0.00%;15.08%;Ні;*;недоступний у фіді
AAAR9090;11432.00;11432.00;+0.00%;13160.00;13160.00;+0.00%;15.08%;Ні;*;недоступний у фіді
AAAT1010V4;546.00;546.00;+0.00%;630.00;630.00;+0.00%;15.21%;Ні;*;недоступний у фіді
AAAT4646;1401.00;1401.00;+0.00%;1620.00;1620.00;+0.00%;15.21%;Ні;*;недоступний у фіді
AAAU5555;2258.00;2258.00;+0.00%;2600.00;2600.00;+0.00%;15.08%;Ні;*;недоступний у фіді
AAAV3030;1447.00;1447.00;+0.00%;1670.00;1670.00;+0.00%;15.08%;Ні;*;недоступний у фіді
AAAV3232;1447.00;1447.00;+0.00%;1670.00;1670.00;+0.00%;15.08%;Ні;*;недоступний у фіді
AAAV3636;1617.00;1617.00;+0.00%;1870.00;1870.00;+0.00%;15.08%;Ні;*;недоступний у фіді
AAAV5050;2100.00;2100.00;+0.00%;2420.00;2420.00;+0.00%;15.08%;Ні;*;недоступний у фіді
AAAV5555;2231.00;2231.00;+0.00%;2570.00;2570.00;+0.00%;15.08%;Ні;*;недоступний у фіді
AAEH1317;192.00;192.00;+0.00%;230.00;230.00;+0.00%;15.08%;Ні;*;недоступний у фіді
AAEH4650;1802.00;1802.00;+0.00%;2080.00;2080.00;+0.00%;15.08%;Ні;*;недоступний у фіді
AAEH5560;3071.00;3071.00;+0.00%;3540.00;3540.00;+0.00%;15.08%;Ні;*;недоступний у фіді
AB-17-PT-1.4;1609.00;1609.00;+0.00%;1830.00;1830.00;+0.00%;13.20%;Ні;*;недоступний у фіді
AB150-360-220;37380.00;37380.00;+0.00%;40770.00;40770.00;+0.00%;9.05%;Ні;*;недоступний у фіді
AB200-360-220;41160.00;41160.00;+0.00%;44890.00;44890.00;+0.00%;9.05%;Ні;*;недоступний у фіді
AC1X34-3;140448.00;140448.00;+0.00%;161520.00;161520.00;+0.00%;15.00%;Ні;*;недоступний у фіді
AC690PRO;163800.00;163800.00;+0.00%;188370.00;188370.00;+0.00%;15.00%;Ні;*;недоступний у фіді
AC790PRO;267410.00;267410.00;+0.00%;307530.00;307530.00;+0.00%;15.00%;Ні;*;недоступний у фіді
ACM3000;121800.00;121800.00;+0.00%;140070.00;140070.00;+0.00%;15.00%;Ні;*;недоступний у фіді
ACT550-SFK;61600.00;61600.00;+0.00%;70840.00;70840.00;+0.00%;15.00%;Ні;*;недоступний у фіді
ACW-001;123.00;123.00;+0.00%;150.00;150.00;+0.00%;15.00%;Ні;*;недоступний у фіді
AEAE1616;618.00;618.00;+0.00%;720.00;720.00;+0.00%;15.14%;Ні;*;недоступний у фіді
AEEA1314;177.00;177.00;+0.00%;210.00;210.00;+0.00%;15.14%;Ні;*;недоступний у фіді
AEEA1517;247.00;247.00;+0.00%;290.00;290.00;+0.00%;15.14%;Ні;*;недоступний у фіді
AHC-10-W;2454.00;2454.00;+0.00%;2830.00;2830.00;+0.00%;15.00%;Ні;*;недоступний у фіді
AK100-360T-380-ITALY;34718.00;34718.00;+0.00%;37860.00;37860.00;+0.00%;9.05%;Ні;*;недоступний у фіді
AK50-170-ITALY;15220.00;15220.00;+0.00%;16600.00;16600.00;+0.00%;9.05%;Ні;*;недоступний у фіді
AKS0210;47.00;47.00;+0.00%;60.00;60.00;+0.00%;15.27%;Ні;*;недоступний у фіді
ALAD2470;1421.00;1421.00;+0.00%;1640.00;1640.00;+0.00%;15.00%;Ні;*;недоступний у фіді
ALAD2498;1421.00;1421.00;+0.00%;1640.00;1640.00;+0.00%;15.00%;Ні;*;недоступний у фіді
ALAL1621;708.00;708.00;+0.00%;820.00;820.00;+0.00%;15.00%;Ні;*;недоступний у фіді
ALAM0803;461.00;461.00;+0.00%;540.00;540.00;+0.00%;15.00%;Ні;*;недоступний у фіді
ALEA60A5;1655.00;1655.00;+0.00%;1910.00;1910.00;+0.00%;15.14%;Ні;*;недоступний у фіді
ALPHA35M-220;101200.00;101200.00;+0.00%;116070.00;116070.00;+0.00%;14.69%;Ні;*;недоступний у фіді
AMCS-10;1219.00;1219.00;+0.00%;1410.00;1410.00;+0.00%;15.00%;Ні;*;недоступний у фіді
AMCS-20;1219.00;1219.00;+0.00%;1410.00;1410.00;+0.00%;15.00%;Ні;*;недоступний у фіді
AMCS-30;1219.00;1219.00;+0.00%;1410.00;1410.00;+0.00%;15.00%;Ні;*;недоступний у фіді
AMCS-50;1219.00;1219.00;+0.00%;1410.00;1410.00;+0.00%;15.00%;Ні;*;недоступний у фіді
