SKU;Назва;Статус;Ціна постач. стара;Ціна постач. нова;Зміна постач. %;Наша ціна стара;Наша ціна нова;Зміна нашої %;CPA %;Джерело CPA;Наявність;Залишок;Алерт;Причина алерту
103201518;Передні поворотні платформи (2шт);ok;26400.00;26400.00;+0.00%;32830.00;30280.00;-7.77%;14.69%;Подъемники автомобильные;Ні;*;Так;відсутній у фіді
1129510212;Безмасляний компресор поршневий Vрес=6л 160л/хв 220V 1,1кВт ;ok;7156.00;7156.00;+0.00%;8920.00;7810.00;-12.44%;9.05%;Компрессоры поршневые;Ні;*;Так;відсутній у фіді
1129510917;Безмасляний компресор поршневий Vрес=24л 160л/хв 220V 1,1кВт;ok;8386.00;8386.00;+0.00%;10450.00;9150.00;-12.44%;9.05%;Компрессоры поршневые;Ні;*;Так;відсутній у фіді
201021526;Траверса пневмо-гідравлічна;ok;52800.00;52800.00;+0.00%;65620.00;60720.00;-7.47%;15.00%;default;Ні;*;Так;відсутній у фіді
21PRO;"Степлер пневматичний під скобу (PROFI) (12.7; 0.65 * 0.95; 6";ok;1998.00;1998.00;+0.00%;3270.00;2220.00;-32.11%;10.63%;Пневматические степлеры;Так;*;Так;подешевшало на 32.1%
34-COIL;"Індукційна котушка (спіраль діам 3/4"") для IND-1000W";ok;484.00;484.00;+0.00%;860.00;560.00;-34.88%;14.73%;Паяльники;Так;*;Так;подешевшало на 34.9%
5000-01;Кабель USB для передачі даних на ПК (EXCEL) PROTESTER 5000-0;ok;1764.00;1901.00;+7.77%;3060.00;2190.00;-28.43%;15.00%;default;Так;*;Так;подешевшало на 28.4%
5202-25;Мікрометр цифровий (0-25мм/0,001мм) PROTESTER 5202-25;ok;2127.00;2127.00;+0.00%;2670.00;2430.00;-8.99%;13.86%;Микрометры;Ні;*;Так;відсутній у фіді
5423-200;Цифровий кутомір з лінійкою 200мм PROTESTER 5423-200;ok;678.00;678.00;+0.00%;3700.00;780.00;-78.92%;14.65%;Угломеры;Так;*;Так;подешевшало на 78.9%
7212521000;Фільтр попереднього очищення (3 мкм) FQ2000 для гвинтового к;ok;8504.00;8504.00;+0.00%;10590.00;9780.00;-7.65%;15.00%;default;Ні;*;Так;відсутній у фіді
8016;"Степлер пневматичний під скобу (12.7;0.65*0.95;6-16) Ga21 (з";ok;1615.00;1615.00;+0.00%;3710.00;1790.00;-51.75%;10.63%;Пневматические степлеры;Так;*;Так;подешевшало на 51.8%
9995260000;Компресор 24 л поршневий 220В COSMOS 2420 CE ROSSO FIAC 9995;ok;6863.00;6863.00;+0.00%;8550.00;7490.00;-12.40%;9.05%;Компрессоры поршневые;Ні;*;Так;відсутній у фіді
AAAF0707;Ключ комбінований вкорочений 7мм(полірований) TOPTUL AAAF070;ok;60.00;60.00;+0.00%;100.00;70.00;-30.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 30.0%
AAAF0808;Ключ комбінований вкорочений 8мм (полірований) TOPTUL AAAF08;ok;60.00;60.00;+0.00%;100.00;70.00;-30.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 30.0%
AAAF0909;Ключ комбінований вкорочений 9мм (полірований) TOPTUL AAAF09;ok;70.00;70.00;+0.00%;120.00;90.00;-25.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 25.0%
AAAF1010;Ключ комбінований вкорочений 10мм (полірований) TOPTUL AAAF1;ok;70.00;70.00;+0.00%;120.00;90.00;-25.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 25.0%
AAAF1111;Ключ комбінований вкорочений 11мм (полірований) TOPTUL AAAF1;ok;73.00;73.00;+0.00%;120.00;90.00;-25.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 25.0%
AAAF1212;Ключ комбінований вкорочений 12мм (полірований) TOPTUL AAAF1;ok;75.00;75.00;+0.00%;120.00;90.00;-25.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 25.0%
AAAF1313;Ключ комбінований вкорочений 13мм (полірований) TOPTUL AAAF1;ok;84.00;84.00;+0.00%;130.00;100.00;-23.08%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 23.1%
AAAF1414;Ключ комбінований вкорочений 14мм (полірований) TOPTUL AAAF1;ok;92.00;92.00;+0.00%;140.00;110.00;-21.43%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 21.4%
AAAF1515;Ключ комбінований вкорочений 15мм (полірований) TOPTUL AAAF1;ok;97.00;97.00;+0.00%;150.00;120.00;-20.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 20.0%
AAAK0809;Ключ накидний укорочений (кут 45°) 8х9мм TOPTUL AAAK0809;ok;103.00;103.00;+0.00%;160.00;120.00;-25.00%;15.08%;Накидные ключи;Так;*;Так;подешевшало на 25.0%
AAAK1011;Ключ накидний укорочений (кут 45°) 10х11мм TOPTUL AAAK1011;ok;103.00;103.00;+0.00%;160.00;120.00;-25.00%;15.08%;Накидные ключи;Так;*;Так;подешевшало на 25.0%
AAAP1417;Ключ накидний прямий супердовгий 14х17мм посилений TOPTUL AA;ok;510.00;510.00;+0.00%;660.00;590.00;-10.61%;15.08%;Накидные ключи;Ні;*;Так;відсутній у фіді
AAAR4242;Ключ накидний односторонній (ударний) 42мм TOPTUL AAAR4242;ok;688.00;688.00;+0.00%;880.00;800.00;-9.09%;15.08%;Накидные ключи;Ні;*;Так;відсутній у фіді
AAAR9090;Ключ накидний односторонній (ударний) 90мм TOPTUL AAAR9090;ok;11432.00;11432.00;+0.00%;14230.00;13160.00;-7.52%;15.08%;Накидные ключи;Ні;*;Так;відсутній у фіді
AAAT1010V4;Ключ ріжковий односторонній 10мм 1000V VDE TOPTUL AAAT1010V4;ok;546.00;546.00;+0.00%;710.00;630.00;-11.27%;15.21%;Рожковые ключи;Ні;*;Так;відсутній у фіді
AAAT1717;Ключ ріжковий односторонній (посилений) 17мм TOPTUL AAAT1717;ok;211.00;211.00;+0.00%;480.00;250.00;-47.92%;15.21%;Рожковые ключи;Так;*;Так;подешевшало на 47.9%
AAAT1919;Ключ ріжковий односторонній (посилений) 19мм TOPTUL AAAT1919;ok;213.00;213.00;+0.00%;480.00;250.00;-47.92%;15.21%;Рожковые ключи;Так;*;Так;подешевшало на 47.9%
AAAT2121;Ключ ріжковий односторонній (посилений) 21мм TOPTUL AAAT2121;ok;213.00;213.00;+0.00%;570.00;250.00;-56.14%;15.21%;Рожковые ключи;Так;*;Так;подешевшало на 56.1%
AAAT2222;Ключ ріжковий односторонній (посилений) 22мм TOPTUL AAAT2222;ok;265.00;265.00;+0.00%;680.00;310.00;-54.41%;15.21%;Рожковые ключи;Так;*;Так;подешевшало на 54.4%
AAAT2424;Ключ ріжковий односторонній (посилений) 24мм TOPTUL AAAT2424;ok;265.00;265.00;+0.00%;590.00;310.00;-47.46%;15.21%;Рожковые ключи;Так;*;Так;подешевшало на 47.5%
AAAT4646;Ключ ріжковий односторонній (посилений) 46мм TOPTUL AAAT4646;ok;1401.00;1401.00;+0.00%;1770.00;1620.00;-8.47%;15.21%;Рожковые ключи;Ні;*;Так;відсутній у фіді
AAAU5555;Ключ накидний односторонній (ударний під монтировку) кут 45°;ok;2258.00;2258.00;+0.00%;2830.00;2600.00;-8.13%;15.08%;Накидные ключи;Ні;*;Так;відсутній у фіді
AAAV3030;Ключ накидний односторонній (ударний під подовжувач) кут 45°;ok;1447.00;1447.00;+0.00%;1830.00;1670.00;-8.74%;15.08%;Накидные ключи;Ні;*;Так;відсутній у фіді
AAAV3232;Ключ накидний односторонній (ударний під подовжувач) кут 45°;ok;1447.00;1447.00;+0.00%;1830.00;1670.00;-8.74%;15.08%;Накидные ключи;Ні;*;Так;відсутній у фіді
AAAV3636;Ключ накидний односторонній (ударний під подовжувач) кут 45°;ok;1617.00;1617.00;+0.00%;2040.00;1870.00;-8.33%;15.08%;Накидные ключи;Ні;*;Так;відсутній у фіді
AAAV5050;Ключ накидний односторонній (ударний під подовжувач) кут 45°;ok;2100.00;2100.00;+0.00%;2640.00;2420.00;-8.33%;15.08%;Накидные ключи;Ні;*;Так;відсутній у фіді
AAAV5555;Ключ накидний односторонній (ударний під подовжувач) кут 45°;ok;2231.00;2231.00;+0.00%;2800.00;2570.00;-8.21%;15.08%;Накидные ключи;Ні;*;Так;відсутній у фіді
AAEB0606;Ключ комбінований 6мм TOPTUL AAEB0606;ok;77.00;77.00;+0.00%;120.00;90.00;-25.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 25.0%
AAEB0707;Ключ комбінований 7мм TOPTUL AAEB0707;ok;77.00;77.00;+0.00%;120.00;90.00;-25.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 25.0%
AAEB0808;Ключ комбінований 8мм TOPTUL AAEB0808;ok;85.00;85.00;+0.00%;130.00;100.00;-23.08%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 23.1%
AAEB0909;Ключ комбінований 9мм TOPTUL AAEB0909;ok;92.00;92.00;+0.00%;140.00;110.00;-21.43%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 21.4%
AAEB1010;Ключ комбінований 10мм TOPTUL AAEB1010;ok;92.00;92.00;+0.00%;220.00;110.00;-50.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 50.0%
AAEB1111;Ключ комбінований 11мм TOPTUL AAEB1111;ok;101.00;101.00;+0.00%;150.00;120.00;-20.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 20.0%
AAEB1414;Ключ комбінований 14мм TOPTUL AAEB1414;ok;135.00;135.00;+0.00%;200.00;160.00;-20.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 20.0%
