SKU;Назва;Статус;Ціна постач. стара;Ціна постач. нова;Зміна постач. %;Наша ціна стара;Наша ціна нова;Зміна нашої %;CPA %;Джерело CPA;Наявність;Залишок;Алерт;Причина алерту
103201518;Передні поворотні платформи (2шт);ok;26400.00;26400.00;+0.00%;32830.00;30280.00;-7.77%;14.69%;Подъемники автомобильные;Ні;*;Так;відсутній у фіді
103260037;Ультразвукова ванна 100W місткість 1 літр;ok;8800.00;8800.00;+0.00%;10960.00;10120.00;-7.66%;15.00%;default;Так;*;Ні;
1129502952;Компресор поршневий Vрес=24л 170л/хв 220V 1,5кВт FIAC - AIR ;ok;7394.00;7394.00;+0.00%;9210.00;8070.00;-12.38%;9.05%;Компрессоры поршневые;Так;*;Ні;
1129502953;Компресор поршневий Vрес=50л 170л/хв 220V 1,5кВт FIAC - AIR ;ok;9504.00;9504.00;+0.00%;11840.00;10370.00;-12.42%;9.05%;Компрессоры поршневые;Так;*;Ні;
1129510212;Безмасляний компресор поршневий Vрес=6л 160л/хв 220V 1,1кВт ;ok;7156.00;7156.00;+0.00%;8920.00;7810.00;-12.44%;9.05%;Компрессоры поршневые;Ні;*;Так;відсутній у фіді
1129510917;Безмасляний компресор поршневий Vрес=24л 160л/хв 220V 1,1кВт;ok;8386.00;8386.00;+0.00%;10450.00;9150.00;-12.44%;9.05%;Компрессоры поршневые;Ні;*;Так;відсутній у фіді
114-COIL;"Індукційна котушка (спіраль діам 1-1/4 "") для IND-1000W";ok;616.00;616.00;+0.00%;790.00;710.00;-10.13%;15.00%;default;Так;*;Ні;
2-1450X2F50-220;Компресор безмасляний поршневий 50 л 2*1,45 кВт 220 В 280 л/;ok;14614.00;14614.00;+0.00%;18180.00;15940.00;-12.32%;9.05%;Компрессоры поршневые;Так;*;Ні;
201021526;Траверса пневмо-гідравлічна;ok;52800.00;52800.00;+0.00%;65620.00;60720.00;-7.47%;15.00%;default;Ні;*;Так;відсутній у фіді
21PRO;"Степлер пневматичний під скобу (PROFI) (12.7; 0.65 * 0.95; 6";ok;1998.00;1998.00;+0.00%;3270.00;2220.00;-32.11%;10.63%;Пневматические степлеры;Так;*;Так;подешевшало на 32.1%
301180746;Грузовий комплект адаптерів та ПЗ для X-431 PADV / PADV II L;ok;61600.00;61600.00;+0.00%;76560.00;70640.00;-7.73%;14.66%;Автомобильные диагностические сканеры;Так;*;Ні;
3020401000;Компресорна головка AB580 (580л/хв);ok;20372.00;20372.00;+0.00%;25340.00;22540.00;-11.05%;10.63%;Комплектующие для компрессоров;Так;*;Ні;
3021080000;Компресорна головка AB998 (998л/хв);ok;44288.00;44288.00;+0.00%;55050.00;49000.00;-10.99%;10.63%;Комплектующие для компрессоров;Так;*;Ні;
34-COIL;"Індукційна котушка (спіраль діам 3/4"") для IND-1000W";ok;484.00;484.00;+0.00%;860.00;560.00;-34.88%;14.73%;Паяльники;Так;*;Так;подешевшало на 34.9%
5000-01;Кабель USB для передачі даних на ПК (EXCEL) PROTESTER 5000-0;ok;1764.00;1901.00;+7.77%;3060.00;2190.00;-28.43%;15.00%;default;Так;*;Так;подешевшало на 28.4%
5110-150;Штангенциркуль електронний 150мм 0,01мм PROTESTER 5110-150;ok;1564.00;1564.00;+0.00%;1970.00;1800.00;-8.63%;14.65%;Штангенинструмент;Так;*;Ні;
5202-100;Мікрометр цифровий (75-100мм/0,001мм) PROTESTER 5202-100;ok;3318.00;3318.00;+0.00%;4150.00;3780.00;-8.92%;13.86%;Микрометры;Так;*;Ні;
5202-25;Мікрометр цифровий (0-25мм/0,001мм) PROTESTER 5202-25;ok;2127.00;2127.00;+0.00%;2670.00;2430.00;-8.99%;13.86%;Микрометры;Ні;*;Так;відсутній у фіді
5202-50;Мікрометр цифровий (25-50мм/0,001мм) PROTESTER 5202-50;ok;2328.00;2328.00;+0.00%;2920.00;2660.00;-8.90%;13.86%;Микрометры;Так;*;Ні;
5202-75;Мікрометр цифровий (50-75мм/0,001мм) PROTESTER 5202-75;ok;2829.00;2829.00;+0.00%;3720.00;3230.00;-13.17%;13.86%;Микрометры;Так;*;Ні;
5304-200A;Цифрова лінійна шкала 200мм з дистанційним дисплеєм PROTESTE;ok;1764.00;1764.00;+0.00%;2220.00;2030.00;-8.56%;14.65%;Угломеры;Так;*;Ні;
5304-300A;Цифрова лінійна шкала 300мм з дистанційним дисплеєм PROTESTE;ok;1896.00;1896.00;+0.00%;2380.00;2180.00;-8.40%;14.65%;Угломеры;Так;*;Ні;
5304-500A;Цифрова лінійна шкала 500мм з дистанційним дисплеєм PROTESTE;ok;2442.00;2442.00;+0.00%;3060.00;2800.00;-8.50%;14.65%;Угломеры;Так;*;Ні;
5307-10;Цифровий індикатор годинного типу (0-12,7мм) PROTESTER 5307-;ok;1764.00;1764.00;+0.00%;2220.00;2030.00;-8.56%;14.65%;Циферблатные индикаторы;Так;*;Ні;
5307-25;Цифровий індикатор годинного типу (0-25,4мм) PROTESTER 5307-;ok;2131.00;2131.00;+0.00%;2680.00;2450.00;-8.58%;14.65%;Циферблатные индикаторы;Так;*;Ні;
