id,назва,проблема,пріоритет
2934022803,"Микрометр механический (75-100мм/0,01мм) PROTESTER MOMM75100",Характеристики не заповнені,medium
2934022802,Набор микрометров механических 0-100мм 4шт. PROTESTER SMOM0100,"Мало фото (1, мін. 3)",medium
2934022802,Набор микрометров механических 0-100мм 4шт. PROTESTER SMOM0100,Характеристики не заповнені,medium
2934022801,"Микрометр механический (0-25мм/0,01мм) PROTESTER MOMM0025","Мало фото (1, мін. 3)",medium
2934022801,"Микрометр механический (0-25мм/0,01мм) PROTESTER MOMM0025",Характеристики не заповнені,medium
2934022800,Набор нутромеров телескопических удлиненных 8-150мм 6 штук metal case PROTESTER ,"Мало фото (1, мін. 3)",medium
2934022800,Набор нутромеров телескопических удлиненных 8-150мм 6 штук metal case PROTESTER ,Характеристики не заповнені,medium
2934022799,Резьбомер метрический PROTESTER MTGS0020,"Назва коротка (40 симв., мін. 50)",high
2934022799,Резьбомер метрический PROTESTER MTGS0020,"Мало фото (1, мін. 3)",medium
2934022799,Резьбомер метрический PROTESTER MTGS0020,Характеристики не заповнені,medium
2934022798,"Толщиномер индикаторный стрелочный 12,7мм PROTESTER HDTG0012","Мало фото (1, мін. 3)",medium
2934022798,"Толщиномер индикаторный стрелочный 12,7мм PROTESTER HDTG0012",Характеристики не заповнені,medium
2934022797,Авто стетоскоп механический PROTESTER SSMC0001,"Назва коротка (46 симв., мін. 50)",high
2934022797,Авто стетоскоп механический PROTESTER SSMC0001,"Мало фото (1, мін. 3)",medium
2934022797,Авто стетоскоп механический PROTESTER SSMC0001,Характеристики не заповнені,medium
2934022796,"Индикатор часовой цифровой 0-12,7 мм 0,01 мм PROTESTER DIGI0012","Мало фото (1, мін. 3)",medium
2934022796,"Индикатор часовой цифровой 0-12,7 мм 0,01 мм PROTESTER DIGI0012",Характеристики не заповнені,medium
2934022794,"Нутромер со стрелочным индикатором 35-50мм, 0,01мм, глубина 150мм PROTESTER BGDI","Мало фото (1, мін. 3)",medium
2934022794,"Нутромер со стрелочным индикатором 35-50мм, 0,01мм, глубина 150мм PROTESTER BGDI",Характеристики не заповнені,medium
2934022793,"Нутромер со стрелочным индикатором 50-160мм, 0,01мм, глубина 150мм PROTESTER BGD",Характеристики не заповнені,medium
2934022792,"Микрометр механический (125-150мм/0,01мм) PROTESTER MOMM125150","Мало фото (1, мін. 3)",medium
2934022792,"Микрометр механический (125-150мм/0,01мм) PROTESTER MOMM125150",Характеристики не заповнені,medium
2934022791,"Индикатор часового типа стрелочный 0-10мм 0,01мм PROTESTER DIAI0010","Мало фото (1, мін. 3)",medium
2934022791,"Индикатор часового типа стрелочный 0-10мм 0,01мм PROTESTER DIAI0010",Характеристики не заповнені,medium
2934022790,"Микрометр механический (100-125мм/0,01мм) PROTESTER MOMM100125","Мало фото (1, мін. 3)",medium
2934022790,"Микрометр механический (100-125мм/0,01мм) PROTESTER MOMM100125",Характеристики не заповнені,medium
2934022789,Резьбомер дюймовый PROTESTER ITGS0020,"Назва коротка (37 симв., мін. 50)",high
2934022789,Резьбомер дюймовый PROTESTER ITGS0020,"Мало фото (1, мін. 3)",medium
2934022789,Резьбомер дюймовый PROTESTER ITGS0020,Характеристики не заповнені,medium
2934022788,"Держатель для индикаторов на магнитном основании, 80кг, 380мм PROTESTER MAMB8038","Мало фото (1, мін. 3)",medium
2934022788,"Держатель для индикаторов на магнитном основании, 80кг, 380мм PROTESTER MAMB8038",Характеристики не заповнені,medium
2934022787,"Индикатор часового типа цифровой 0-25,4мм 0,01мм PROTESTER DIGI0025","Мало фото (1, мін. 3)",medium
2934022787,"Индикатор часового типа цифровой 0-25,4мм 0,01мм PROTESTER DIGI0025",Характеристики не заповнені,medium
2934022786,"Автомобильный подъемник с верхней синхронизацией 2-х стоечный 5,5т 380В BRIGHT B","Мало фото (1, мін. 3)",medium
2934022786,"Автомобильный подъемник с верхней синхронизацией 2-х стоечный 5,5т 380В BRIGHT B",Характеристики не заповнені,medium
2934022785,Лежак автослесаря 500x300x30мм TORIN TRL7002-1,"Назва коротка (46 симв., мін. 50)",high
2934022785,Лежак автослесаря 500x300x30мм TORIN TRL7002-1,Характеристики не заповнені,medium
2934022784,Весы ручные цифровые 50 кг PROTESTER WSDH0050,"Назва коротка (45 симв., мін. 50)",high
2934022784,Весы ручные цифровые 50 кг PROTESTER WSDH0050,"Мало фото (1, мін. 3)",medium
2934022784,Весы ручные цифровые 50 кг PROTESTER WSDH0050,Характеристики не заповнені,medium
2934022783,"Нутромер индикаторный стрелочный 18-35мм, 0,01мм, глубина 125мм PROTESTER BGDI15","Мало фото (1, мін. 3)",medium
2934022783,"Нутромер индикаторный стрелочный 18-35мм, 0,01мм, глубина 125мм PROTESTER BGDI15",Характеристики не заповнені,medium
2934022782,"Индикатор часового типа стрелочный 0-30мм 0,01мм PROTESTER DIAI0030","Мало фото (1, мін. 3)",medium
2934022782,"Индикатор часового типа стрелочный 0-30мм 0,01мм PROTESTER DIAI0030",Характеристики не заповнені,medium
2934022781,Набор микрометров механических 0-150мм 6шт. PROTESTER SMOM0150,"Мало фото (2, мін. 3)",medium
2934022781,Набор микрометров механических 0-150мм 6шт. PROTESTER SMOM0150,Характеристики не заповнені,medium
2934022780,"Портативная зарядная станция 1800W/2200W(Max), 220V+12V Jump starter PROTESTER P","Мало фото (1, мін. 3)",medium
2934022780,"Портативная зарядная станция 1800W/2200W(Max), 220V+12V Jump starter PROTESTER P",Характеристики не заповнені,medium
2934022779,"Зарядная станция 220В 550W/1000W(Max), 220V PROTESTER PRO-PS551G","Мало фото (1, мін. 3)",medium
2934022779,"Зарядная станция 220В 550W/1000W(Max), 220V PROTESTER PRO-PS551G",Характеристики не заповнені,medium
2934022778,"Портативная зарядная станция 300W/600W(Max), 220V PROTESTER PRO-PS300E","Мало фото (2, мін. 3)",medium
2934022778,"Портативная зарядная станция 300W/600W(Max), 220V PROTESTER PRO-PS300E",Характеристики не заповнені,medium
2934022777,"Головка торцевая ударная 1/2""  20мм  TOPTUL KABA1620","Опис короткий (47 симв., мін. 300)",high
2934022777,"Головка торцевая ударная 1/2""  20мм  TOPTUL KABA1620","Мало фото (1, мін. 3)",medium
2934022777,"Головка торцевая ударная 1/2""  20мм  TOPTUL KABA1620",Характеристики не заповнені,medium
2934022776,"Зарядная станция для дома 600W/1000W(Max), 220V PROTESTER PRO-PS600D","Мало фото (2, мін. 3)",medium
2934022776,"Зарядная станция для дома 600W/1000W(Max), 220V PROTESTER PRO-PS600D",Характеристики не заповнені,medium
